Chimp,Sex,Image,A.x,A.y,B.x,B.y,C.x,C.y,D.x,D.y,E.x,E.y,F.x,F.y,G.x,G.y
Dahpi,0,12,300,238,298,649,230,284,372,285,136,335,485,332,296,559
Dahpi,0,24,309,244,281,657,234,295,376,298,138,345,464,337,278,570
Judy,0,12,314,241,320,652,245,302,380,303,148,340,472,338,320,554
Judy,0,17,295,271,311,649,228,333,354,334,153,375,448,368,300,563
Lexus,0,36,358,234,352,640,282,289,423,289,169,339,513,338,355,546
Lexus,0,48,296,200,295,644,220,258,379,261,123,322,482,316,292,537
Maishpa,0,15,300,285,292,648,223,324,374,324,125,368,467,367,292,582
Maishpa,0,9,308,219,302,639,232,263,383,265,151,326,490,332,301,534
Tuppence,0,15,330,237,338,660,252,293,397,297,161,345,492,346,327,560
Tuppence,0,10,340,224,356,652,267,279,413,281,157,336,507,344,351,547
Gremlin,1,31,278,270,255,654,202,297,355,296,129,333,455,333,258,554
Gremlin,1,9,294,250,272,643,213,287,367,287,133,335,461,326,270,534
Kalioni,1,37,282,264,289,617,213,297,350,297,110,340,467,341,287,522
Kalioni,1,5,246,267,254,657,186,324,320,318,107,361,429,356,240,569
Lyle,1,13,327,248,323,637,256,305,384,311,140,347,476,353,330,552
Lyle,1,31,340,213,352,641,265,274,410,276,145,329,537,314,347,536
Marcus,1,9,343,235,345,633,270,284,417,287,143,332,519,333,337,518
Marcus,1,13,329,251,334,640,255,303,395,307,132,349,507,345,330,534
Rusty,1,22,286,224,289,642,220,262,353,266,127,313,494,308,283,535
Rusty,1,20,313,280,311,649,244,321,377,325,137,364,484,369,306,576
