,location,ID,Folder,Image_name,Repeat.measure.,Year.taken,DOB,Age.at.photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G,,
1,Edinburgh,Cindy,Edinburgh New,Cindy P1040453.tem,N,2009,1/1/1964,45,0,285,214,1.331775701,,"1361.0,1125.0","1296.5,1446.0",,,,,"1318.5,1364.0",,hard to see
2,Edinburgh,Cindy,Edinburgh New,Cindy P1120886.tem,N,2010,1/1/1964,46,0,504,317,1.589905363,,"824.0,749.0","819.0,1274.0",,,,,"814.0,1124.0",,not to see at all
3,Edinburgh,Cindy,Edinburgh New,Cindy May 2011RT.tem,N,2011,1/1/1964,47,0,716,526,1.36121673,,"658.0,491.0","657.0,1329.0",,,,,"671.0,1096.0",,
4,Edinburgh,Cindy,Edinburgh New,Cindy May 2012RT.tem,N,2012,1/1/1964,48,0,666,450,1.48,,"445.0,449.0","525.0,1116.0",,,,,"496.0,974.0",,
5,Edinburgh,Cindy,Edinburgh New,Cindy Feb 2013RT.tem,N,2013,1/1/1964,49,0,622,404,1.53960396,,"532.0,349.0","504.0,999.0",,,,,"509.0,810.0",,
6,Edinburgh,Cindy,Edinburgh New,Cindy Sept2013JN.tem,N,2013,1/1/1964,49,0,395,243,1.625514403,,"1193.0,624.0","1228.0,1054.0",,,,,"1215.0,913.0",,
7,Edinburgh,David,Edinburgh New,David P1010077.tem,N,2008,3/2/1975,33,1,375,227,1.651982379,,"1529, 540","1579, 895","1459, 593","1599, 567","1389, 610","1665, 564","1562, 810",,
8,Edinburgh,David,Edinburgh New,David.tem,Y,2010,3/2/1975,35,1,164,107,1.53271028,,"130.8,111.3","145.0,274.0",,,,,"140.0,235.3",,
9,Edinburgh,David,Edinburgh New,Edinburgh - David 3.tem,Y,2010,3/2/1975,35,1,374,243,1.53909465,,"2200.5,556.0","2231.5,931.5",,,,,"2222.0,843.0",,
10,Edinburgh,David,Edinburgh New,David May2012RT.tem,N,2012,3/2/1975,37,1,919,568,1.617957746,,"650.0,668.0","679.0,1540.0",,,,,"668.0,1325.0",,
11,Edinburgh,David,Edinburgh New,David P1020273.tem,N,2012,3/2/1975,37,1,327,172,1.901162791,,"1204.0,1792.0","1286.5,2112.0",,,,,"1253.0,1996.5",,
12,Edinburgh,David,Vanessa photos 27.11.13,David,N,2013,3/2/1975,38,1,649,335,1.937313433,,"985.0,507.0","1165.0,1147.0",,,,,"1081.0,929.0",,
13,Edinburgh,Edith,Edinburgh New,Holland - Edith 1.JPG,N,2010,4/11/1996,14,0,519,323,1.606811146,,"1922, 598","1900, 1178","1798, 638","2022, 654","1722, 622","2096, 682","1898, 1008",,
14,Edinburgh,Edith,Edinburgh New,Holland - Paul (left) and Edith (right).JPG,N,2010,4/11/1996,14,0,273,163,1.674846626,,"2311, 217","2327, 500","2255, 246","2370, 242","2203, 257","2421, 253","2320, 422",,
15,Edinburgh,Edith,Edinburgh New,EdithApril2011.jpg,N,2011,4/11/1996,15,0,93,61,1.524590164,,"279.0,137.6","267.6,242.0",,,,,"278.2,214,4",,
16,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.06.59.jpg,N,2013,4/11/1996,17,0,507,257,1.972762646,,"1518.0,559.0","1618.0,1137.0",,,,,"1611.0,897.0",,
17,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.10.56.jpg,N,2013,4/11/1996,17,0,N/A,N/A,N/A,,X,,,,,,,,
18,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.11.46-1.jpg,N,2013,4/11/1996,17,0,N/A,N/A,N/A,,X,,,,,,,,
19,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.11.46-2.jpg,N,2013,4/11/1996,17,0,N/A,N/A,N/A,,X,,,,,,,,
20,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-1.jpg,N,2013,4/11/1996,17,0,765,432,1.770833333,,"1058, 354","1088, 1260","924, 462","1240, 466","742, 518","1422, 512","1068, 926",,
21,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-2.jpg,N,2013,4/11/1996,17,0,763,440,1.734090909,,"1065.0,432.0","1137.0,1284.0",,,,,"1090.0,994.0",,
22,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-3.jpg,N,2013,4/11/1996,17,0,755,441,1.712018141,,"1235.0,438.0",,,,,,"1293.0,1000.0",,
23,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.03.jpg,N,2013,4/11/1996,17,0,765,402,1.902985075,,"1132.0,311.0","1180.0,1198.0",,,,,"1166.0,842.0",,
24,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.04.jpg,N,2013,4/11/1996,17,0,799,416,1.920673077,,"1207.0,337.0","1234.0,1214.0",,,,,,,
25,Edinburgh,Emma,Edinburgh New,Edinburgh - Emma 1.tem,Y,2008,8/15/1981,27,0,102,65,1.569230769,,"211.0,51.8","217.2,162.2",,,,,"210.4,131.4",,
26,Edinburgh,Emma,Edinburgh New,Emma P1010080.JPG,Y,2008,8/15/1981,27,0,330,222,1.486486486,,"1588.0,362.5","1596.0,725.5",,,,,"1586.0,623.5",,
27,Edinburgh,Emma,Edinburgh New,Edinburgh - Emma 2.tem,Y,2010,8/15/1981,29,0,348,251,1.386454183,,"2009.0,497.0","1995.5,861.0",,,,,"2007.5,800.5",,
28,Edinburgh,Emma,Edinburgh New,Emma.JPG,Y,2010,8/15/1981,29,0,152,123,1.235772358,,"139.5,105.5","132.0,282.0",,,,,"137.5,251.5",,
29,Edinburgh,Emma,Edinburgh New,Emma Sept 2013JN.jpg,N,2013,8/15/1981,32,0,N/A,N/A,N/A,,"1107.0,553.0","967.0,1397.0",,,,,"972.0,1254.0",,
30,Edinburgh,Eva,Edinburgh New,Holland - Eva 1.JPG,N,2010,12/9/1980,30,0,165,117,1.41025641,,"1482.5,629.3","1509.3,817.0",,,,,"1500.3,765.3",,
31,Edinburgh,Eva,Edinburgh New,Holland - Eva 2.JPG,N,2010,12/9/1980,30,0,198,130,1.523076923,,"1178.3,556.3","1203.8,747.0",,,,,"1196.0,708.3",,
32,Edinburgh,Eva,Edinburgh New,Evaapril2011.jpg,N,2011,12/9/1980,31,0,81,49,1.653061224,,"265.2,101.8","268.6,187.8",,,,,"268.2,161.6",,
33,Edinburgh,Eva,Roslyn photos,Eva 04.2012.JPG,N,2012,12/9/1980,32,0,544,353,1.541076487,,"12667.7,458.7","1306.0,1090.0",,,,,"1294.7,909.3",,
34,Edinburgh,Eva,Edinburgh New,Eva Sept2013JN.jpg,N,2013,12/9/1980,33,0,180,124,1.451612903,,"1028.5,680.8","1045.8,905.8",,,,,"1042.3,832.0",,
35,Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.41,N,2013,12/9/1980,33,0,N/A,N/A,N/A,,"1146.7,306.7","1270.7,911.3",,,,,"1247.3,708.7",,
36,Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.42,N,2013,12/9/1980,33,0,N/A,N/A,N/A,,"1158.0,402.0","1276.7,1010.0",,,,,"1260.7,842.7",,
37,Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.43,N,2013,12/9/1980,33,0,N/A,N/A,N/A,,"1217.3,474.0","1308.0,1091.3",,,,,"1298.7,913.3",,
38,Edinburgh,Frek,Edinburgh New,Frek2010.jpg,N,2010,10/21/1993,17,1,N/A,N/A,N/A,,"233.0,145.3","235.7,201.3",,,,,"235.2,189.5",,
39,Edinburgh,Frek,Edinburgh New,Holland - Frek 1.JPG,N,2010,10/21/1993,17,1,271,197,1.375634518,,"1167, 1003","1114, 1321","1110, 1031","1232, 1048","1044, 1039","1301, 1074","1115, 1251",,
40,Edinburgh,Frek,Edinburgh New,Holland - Frek 2.JPG,N,2010,10/21/1993,17,1,377,258,1.46124031,,"2176.0,593.0","2212.0,1050.0",,,,,"2185.0,905.0",,
41,Edinburgh,Frek,Edinburgh New,Frek June 2012RT.JPG,N,2012,10/21/1993,19,1,469,325,1.443076923,,"388.0,340.0","388.0,833.0",,,,,"388.0,712.0",,
42,Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.04,N,2013,10/21/1993,20,1,N/A,N/A,N/A,,"1098.0,445.5","1212.0,1306.5",,,,,"1182.0,1011.0",,
43,Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.33,N,2013,10/21/1993,20,1,678,532,1.27443609,,"1186.0,774.0","1160.0,1596.0",,,,,"1176.0,1376.0",,
44,Edinburgh,Frek,Vanessa photos 27.11.13 -Frek,2013-11-27 14.30.59,N,2013,10/21/1993,20,1,650,518,1.254826255,,"1177.0,637.0","1285.0,1360.0",,,,,"1270.0,1209.0",,
45,Edinburgh,Heleen,Edinburgh New,Heleen2010.jpg,N,2010,4/16/1991,19,0,94,70,1.342857143,,"199.0,125.0","211.0,239.0",,,,,"206.0,211.0",,
46,Edinburgh,Heleen,Edinburgh New,Holland - Heleen 1.JPG,N,2010,4/16/1991,19,0,231,151,1.529801325,,"1149.0,257.0","1150.0,524.0",,,,,"1152.0,443.0",,
47,Edinburgh,Heleen,Vanessa photos 27.11.14,Heleen,N,2013,4/16/1991,22,0,468,276,1.695652174,,"921.0,741.0","1254.0,1121.0",,,,,"1145.0,1014.0",,
48,Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 1.tem,Y,2009,2/20/1993,16,0,243,156,1.557692308,,"1480.0,560.0","1463.0,822.0",,,,,"1469.0,756.0",,
49,Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 2.tem,N,2009,2/20/1993,16,0,267,148,1.804054054,,"549.0,179.0","586.0,451.0",,,,,"574.0,361.0",,
50,Edinburgh,Kilimi,Edinburgh New,Kilimi (small).JPG,Y,2009,2/20/1993,16,0,125,77,1.623376623,,"116.0,82.0","106.0,210.0",,,,,"108.0,177.0",,
51,Edinburgh,Kilimi,Edinburgh New,Edinburgh - Kilimi 3.tem,N,2010,2/20/1993,17,0,599,373,1.605898123,,"1961.0,678.0","1988.0,1252.0",,,,,"1979.0,1114.0",,
52,Edinburgh,Kilimi,Edinburgh New,Kilimi face P1120510.JPG,N,2010,2/20/1993,17,0,548,365,1.501369863,,"1773.0,773.0","1807.0,1337.0",,,,,"1784.0,1194.0",,
53,Edinburgh,Kilimi,Edinburgh New,kilimi oct2013b.JPG,N,2013,2/20/1993,20,0,329,193,1.704663212,,"412.7, 354","488, 707.3","343.3, 390.7","493.3, 369.3","302, 416","534, 375.3","459.3, 596.7",,
54,Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.19,N,2013,2/20/1993,20,0,648,347,1.867435159,,"1510.0,469.0","1543.0,1248.0",,,,,"1517.0,952.0",,
55,Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.22-1,N,2013,2/20/1993,20,0,623,325,1.916923077,,"1516.0,506.0","1577.0,1271.0",,,,,"1542.0,956.0",,
56,Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.22-2,N,2013,2/20/1993,20,0,659,351,1.877492877,,"1555.0,527.0","1601.0,1303.0",,,,,"1569.0,988.0",,
57,Edinburgh,Kilimi,Vanessa photos 27.11.13 -Kilimi,2013-11-27 13.39.24,N,2013,2/20/1993,20,0,632,333,1.897897898,,"1424.0,467.0","1517.0,1277.0",,,,,"1467.0,950.0",,
58,Edinburgh,Kindia,Edinburgh New,Edinburgh - Kindia 2.jpg,Y,2009,2/5/1997,12,1,612,420,1.457142857,,"1515.0,395.0","1521.0,1060.0",,,,,"1513.0,859.0",,
59,Edinburgh,Kindia,Edinburgh New,Kindia (small).JPG,N,2009,2/5/1997,12,1,597,408,1.463235294,,"574.0,389.0","571.0,1058.0",,,,,"572.0,857.0",,
60,Edinburgh,Kindia,Edinburgh New,Kindia1.JPG,Y,2009,2/5/1997,12,1,607,401,1.513715711,,"1528.0,405.0","1521.0,1060.0",,,,,"1514.0,859.0",,
61,Edinburgh,Kindia,Edinburgh New,Edinburgh - Kinda (left) and Qafzeh (middle).tem,N,2010,2/5/1997,13,1,325,239,1.359832636,,"766.5,552.0","750.5,911.5",,,,,"762.0,830.5",,
62,Edinburgh,Kindia,Edinburgh New,Kindia OK.JPG,N,2010,2/5/1997,13,1,160,118,1.355932203,,"121.5,106.5","117.5,285.5",,,,,"120.0,243.8",,
63,Edinburgh,Kindia,Edinburgh New,Kindia Feb 2013RT.JPG,N,2013,2/5/1997,16,1,N/A,N/A,N/A,,"462.0,353.0","454.0,1027.0",,,,,"438.0,832.0",,
64,Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.27.38-1,N,2013,2/5/1997,16,1,513,388,1.322164948,,"953.0,525.0","1207.0,1022.0",,,,,"1129.0,899.0",,
65,Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.27.38-3,N,2013,2/5/1997,16,1,524,366,1.431693989,,"878.0,535.0","1074.0,1060.0",,,,,"1012.0,929.0",,
66,Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.28.00,N,2013,2/5/1997,16,1,661,641,1.031201248,,"1105.0,584.0","1246.0,1289.0",,,,,"1214.0,1149.0",,
67,Edinburgh,Kindia,Vanessa photos 27.11.13 -Kindia,2013-11-27 14.28.03,N,2013,2/5/1997,16,1,686,503,1.363817097,,"1058.0,460.0","1232.0,1200.0",,,,,"1185.0,1027.0",,
68,Edinburgh,Lianne,Edinburgh New,Holland - Lianne 1.JPG,N,2010,2/14/1989,21,0,680,414,1.642512077,,"2229.0,872.0","2219.0,1467.0",,,,,"2218.0,1366.0",,
69,Edinburgh,Lianne,Edinburgh New,Holland - Lianne 2.JPG,N,2012,2/14/1989,23,0,309,203,1.522167488,,"1122.0,1226.0","1033.0,1524.0",,,,,"1048.0,1453.0",,
70,Edinburgh,Lianne,Roslyn photos,Lianne 06.2012.JPG,N,2012,2/14/1989,23,0,816,549,1.486338798,,"1075.0,687.0","1179.0,1491.0",,,,,"1158.0,1331.0",,
71,Edinburgh,Lianne,Edinburgh New,Lianne.jpg,N,2013,2/14/1989,24,0,N/A,N/A,N/A,,"244.0,144.0","256.0,204.0",,,,,252.0187.0,,
72,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.23-2,N,2013,2/14/1989,24,0,544,414,1.314009662,,"967.0,574.0","950.0,1197.0",,,,,"955.0,1090.0",,
73,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.23-3,N,2013,2/14/1989,24,0,564,420,1.342857143,,"911.0,543.0","904.0,1175.0",,,,,"896.0,1062.0",,
74,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.24-1,N,2013,2/14/1989,24,0,538,395,1.362025316,,"990, 366","1021.5, 1033.5","870, 450","1108.5, 450","736.5, 501","1216.5, 486","1017, 874.5",,
75,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.22.24-2,N,2013,2/14/1989,24,0,N/A,N/A,N/A,,"1034.0,399.0","1116.0,1040.0",,,,,"1102.0,844.0",,
76,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.34,N,2013,2/14/1989,24,0,454,245,1.853061224,,"1145, 424","1148, 940","1059, 504","1251, 500","952, 526","1337, 525","1158, 767",,
77,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.41-1,N,2013,2/14/1989,24,0,N/A,N/A,N/A,,"11290.0,562.0","1130.0,1060.0",,,,,"1119.0,914.0",,
78,Edinburgh,Lianne,Vanessa photos 27.11.13 -Lianne,2013-11-27 14.56.41-2,N,2013,2/14/1989,24,0,N/A,N/A,N/A,,"1140.0,528.0","1169.0,1037.0",,,,,"1144.0,867.0",,
79,Edinburgh,Liberius,Edinburgh New,Liberius P1000774.JPG,N,2008,1/20/1999,9,1,386,241,1.601659751,,"1795.3,586.7","1814.0,976.7",,,,,"1803.3,888.0",,
80,Edinburgh,Liberius,Edinburgh New,Liberius P1050438.JPG,N,2009,1/20/1999,10,1,927,661,1.402420575,,"1100.0,398.0","972.0,1414.0",,,,,"1024.0,1214.0",,
81,Edinburgh,Liberius,Edinburgh New,Liberius P1050439.JPG,N,2009,1/20/1999,10,1,889,681,1.305433186,,"976.0,480.0","1042.0,1512.0",,,,,"996.0,1324.0",,
82,Edinburgh,Liberius,Edinburgh New,Liberius P1050441.JPG,N,2009,1/20/1999,10,1,941,709,1.327221439,,"1082.0,502.0","1168.0,1510.0",,,,,"1158.0,1316.0",,
83,Edinburgh,Liberius,Edinburgh New,Liberius P1050446.JPG,N,2009,1/20/1999,10,1,918,697,1.317073171,,"1260.0,498.0","1324.0,1498.0",,,,,"1336.0,1326.0",,
84,Edinburgh,Liberius,Edinburgh New,Liberius P1050449.JPG,N,2009,1/20/1999,10,1,962,632,1.522151899,,"1236.0,278.0","1176.0,1392.0",,,,,"1204.0,1084.0",,
85,Edinburgh,Liberius,Edinburgh New,Edinburgh - Liberius 4.JPG,N,2010,1/20/1999,11,1,399,283,1.409893993,,"2372.0,319.0","2402.7,708.7",,,,,"2400.0,638.0",,
86,Edinburgh,Liberius,Edinburgh New,Liberius.JPG,N,2010,1/20/1999,11,1,173,116,1.49137931,,"138.5, 114","156, 281.5","107, 137","174, 131.5","81.5, 144","201, 133.5","155.5, 252.5",,
87,Edinburgh,Liberius,Katie photos,Liberius 1.jpg,N,2012,1/20/1999,13,1,479,350,1.368571429,,"395.3,388.7","396.0,908.7",,,,,"386.7,814.7",,
88,Edinburgh,Liberius,Roslyn photos,Liberius 01.2012.jpg,N,2012,1/20/1999,13,1,517,357,1.448179272,,"1306.0,1121.0","1283.0,1664.0",,,,,"1291.0,1557.0",,
89,Edinburgh,Louis,Edinburgh New,Edinburgh - Louis 2.JPG,N,2008,1/1/1973,35,1,345,231,1.493506494,,"1988.0,470.7","2048.7,807.3",,,,,"2035.0,729.0",,
90,Edinburgh,Louis,Edinburgh New,Edinburgh - Louis 1 (a bit fuzzy).JPG,N,2008,1/1/1973,35,1,400,220,1.818181818,,"1788.0,524.7","1756.7,942.0",,,,,"1771.3,795.3",,
91,Edinburgh,Louis,Edinburgh New,Louis (small).JPG,N,2009,1/1/1973,36,1,310,198,1.565656566,,"218.0,217.5","257.5,519.0",,,,,"244.0,448.5",,
92,Edinburgh,Louis,Edinburgh New,Louis P1020290.JPG,N,2009,1/1/1973,36,1,470,247,1.902834008,,"1977, 302","1739, 752","1889, 354","2058, 367","1813, 374","2157, 398","1935, 615",,
93,Edinburgh,Louis,Edinburgh New,Louis2.JPG,N,2009,1/1/1973,36,1,458,309,1.482200647,,"1595.3,473.3","1660.7,940.7",,,,,"1638.0,830.0",,
94,Edinburgh,Louis,Edinburgh New,Louis (from Alaina).JPG,N,2010,1/1/1973,37,1,191,96,1.989583333,,"136.5,92.0","179.5,267.5",,,,,"163.8,209.8",,
95,Edinburgh,Louis,Roslyn photos,Louis body id 2012.JPG,N,2012,1/1/1973,39,1,362,229,1.580786026,,"718.7,310.7","741.3,708.0",,,,,"731.3,584.7",,
96,Edinburgh,Louis,Vanessa photos 27.11.13 -Louis,2013-11-27 14.18.48,N,2013,1/1/1973,40,1,816,534,1.528089888,,"1417.0,298.0","1564.0,1136.0",,,,,"1523.0,911.0",,
97,Edinburgh,Louis,Vanessa photos 27.11.13 -Louis,Louis,N,2013,1/1/1973,40,1,242,172,1.406976744,,"1254.5,645.5","1287.0,955.0",,,,,"1280.0,862.0",,
98,Edinburgh,Lucy,Edinburgh New,Lucy P1000312.JPG,N,2008,11/11/1976,32,0,363,240,1.5125,,"1605.3,535.3","1602.7,918.7",,,,,"1600.0,818.7",,
99,Edinburgh,Lucy,Edinburgh New,Edinburgh - Lucy 2.JPG,N,2009,11/11/1976,33,0,379,234,1.61965812,,"2218, 658","2300, 1066","2148, 713","2303, 691","2058, 752","2391, 706","2278, 936",,
100,Edinburgh,Lucy,Edinburgh New,Edinburgh - Lucy 1.JPG,N,2010,11/11/1976,34,0,89,58,1.534482759,,"160.4,76.1","159.9,172.1",,,,,"159.0,146.4",,
101,Edinburgh,Lucy,Edinburgh New,Lucy 2010 (pic by Sarah Romer).JPG,N,2010,11/11/1976,34,0,1714,1185,1.446413502,,"1248.0,1521.0","1119.0,3468.0",,,,,"1113.0,2892.0",,
102,Edinburgh,Lucy,Roslyn photos,Lucy 04.2012.JPG,N,2012,11/11/1976,36,0,434,262,1.65648855,,"453.3,389.3","549.3,825.3",,,,,"525.3,687.3",,
