,location,ID,Folder,Image_name,Repeat.measure.,Year.taken,DOB,Age.at.photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G
1,Edinburgh,Cindy,Edinburgh New,Cindy P1040453.tem,N,2009,01/01/1964,45,0,285,214,1.331775701,,,,,,,,
2,Edinburgh,Cindy,Edinburgh New,Cindy P1120886.tem,N,2010,01/01/1964,46,0,504,317,1.589905363,,,,,,,,
3,Edinburgh,Cindy,Edinburgh New,Cindy May 2011RT.tem,N,2011,01/01/1964,47,0,716,526,1.36121673,,,,,,,,
4,Edinburgh,Cindy,Edinburgh New,Cindy May 2012RT.tem,N,2012,01/01/1964,48,0,666,450,1.48,,,,,,,,
5,Edinburgh,Cindy,Edinburgh New,Cindy Feb 2013RT.tem,N,2013,01/01/1964,49,0,622,404,1.53960396,,,,,,,,
6,Edinburgh,Cindy,Edinburgh New,Cindy Sept2013JN.tem,N,2013,01/01/1964,49,0,395,243,1.625514403,,,,,,,,
7,Edinburgh,David,Edinburgh New,David P1010077.tem,N,2008,02/03/1975,33,1,375,227,1.651982379,,"1529, 540","1579, 895","1459, 593","1599, 567","1389, 610","1665, 564","1562, 810"
8,Edinburgh,David,Edinburgh New,David.tem,Y,2010,02/03/1975,35,1,164,107,1.53271028,,,,,,,,
9,Edinburgh,David,Edinburgh New,Edinburgh - David 3.tem,Y,2010,02/03/1975,35,1,374,243,1.53909465,,,,,,,,
10,Edinburgh,David,Edinburgh New,David May2012RT.tem,N,2012,02/03/1975,37,1,919,568,1.617957746,,,,,,,,
11,Edinburgh,David,Edinburgh New,David P1020273.tem,N,2012,02/03/1975,37,1,327,172,1.901162791,,,,,,,,
12,Edinburgh,David,Vanessa photos 27.11.13,David,N,2013,02/03/1975,38,1,649,335,1.937313433,,,,,,,,
13,Edinburgh,Edith,Edinburgh New,Holland - Edith 1.JPG,N,2010,11/04/1996,14,0,519,323,1.606811146,,"1922, 598","1900, 1178","1798, 638","2022, 654","1722, 622","2096, 682","1898, 1008"
14,Edinburgh,Edith,Edinburgh New,Holland - Paul (left) and Edith (right).JPG,N,2010,11/04/1996,14,0,273,163,1.674846626,,"2311, 217","2327, 500","2255, 246","2370, 242","2203, 257","2421, 253","2320, 422"
15,Edinburgh,Edith,Edinburgh New,EdithApril2011.jpg,N,2011,11/04/1996,15,0,93,61,1.524590164,,,,,,,,
16,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.06.59.jpg,N,2013,11/04/1996,17,0,507,257,1.972762646,,,,,,,,
17,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.10.56.jpg,N,2013,11/04/1996,17,0,N/A,N/A,N/A,,X,,,,,,
18,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.11.46-1.jpg,N,2013,11/04/1996,17,0,N/A,N/A,N/A,,X,,,,,,
19,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.11.46-2.jpg,N,2013,11/04/1996,17,0,N/A,N/A,N/A,,X,,,,,,
20,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-1.jpg,N,2013,11/04/1996,17,0,765,432,1.770833333,,"1058, 354","1088, 1260","924, 462","1240, 466","742, 518","1422, 512","1068, 926"
21,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-2.jpg,N,2013,11/04/1996,17,0,763,440,1.734090909,,,,,,,,
22,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.02-3.jpg,N,2013,11/04/1996,17,0,755,441,1.712018141,,,,,,,,
23,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.03.jpg,N,2013,11/04/1996,17,0,765,402,1.902985075,,,,,,,,
24,Edinburgh,Edith,Vanessa photos 27.11.13 -Edith,2013-11-27 15.12.04.jpg,N,2013,11/04/1996,17,0,799,416,1.920673077,,,,,,,,
25,Edinburgh,Emma,Edinburgh New,Edinburgh - Emma 1.tem,Y,2008,15/08/1981,27,0,102,65,1.569230769,,,,,,,,
26,Edinburgh,Emma,Edinburgh New,Emma P1010080.JPG,Y,2008,15/08/1981,27,0,330,222,1.486486486,,,,,,,,
27,Edinburgh,Emma,Edinburgh New,Edinburgh - Emma 2.tem,Y,2010,15/08/1981,29,0,348,251,1.386454183,,,,,,,,
28,Edinburgh,Emma,Edinburgh New,Emma.JPG,Y,2010,15/08/1981,29,0,152,123,1.235772358,,,,,,,,
29,Edinburgh,Emma,Edinburgh New,Emma Sept 2013JN.jpg,N,2013,15/08/1981,32,0,N/A,N/A,N/A,,,,,,,,
30,Edinburgh,Eva,Edinburgh New,Holland - Eva 1.JPG,N,2010,09/12/1980,30,0,165,117,1.41025641,,,,,,,,
31,Edinburgh,Eva,Edinburgh New,Holland - Eva 2.JPG,N,2010,09/12/1980,30,0,198,130,1.523076923,,,,,,,,
32,Edinburgh,Eva,Edinburgh New,Evaapril2011.jpg,N,2011,09/12/1980,31,0,81,49,1.653061224,,,,,,,,
33,Edinburgh,Eva,Roslyn photos,Eva 04.2012.JPG,N,2012,09/12/1980,32,0,544,353,1.541076487,,,,,,,,
34,Edinburgh,Eva,Edinburgh New,Eva Sept2013JN.jpg,N,2013,09/12/1980,33,0,180,124,1.451612903,,,,,,,,
35,Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.41,N,2013,09/12/1980,33,0,N/A,N/A,N/A,,,,,,,,
36,Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.42,N,2013,09/12/1980,33,0,N/A,N/A,N/A,,,,,,,,
37,Edinburgh,Eva,Vanessa photos 27.11.13 -Eva,2013-11-27 14.41.43,N,2013,09/12/1980,33,0,N/A,N/A,N/A,,,,,,,,
38,Edinburgh,Frek,Edinburgh New,Frek2010.jpg,N,2010,21/10/1993,17,1,N/A,N/A,N/A,,,,,,,,
39,Edinburgh,Frek,Edinburgh New,Holland - Frek 1.JPG,N,2010,21/10/1993,17,1,271,197,1.375634518,,"1167, 1003","1114, 1321","1110, 1031","1232, 1048","1044, 1039","1301, 1074","1115, 1251"
40,Edinburgh,Frek,Edinburgh New,Holland - Frek 2.JPG,N,2010,21/10/1993,17,1,377,258,1.46124031,,,,,,,,
