"","chimp","Dom","Ext","Con","Agr","Neu","Opn","Dom_CZ","Ext_CZ","Con_CZ","Agr_CZ","Neu_CZ","Opn_CZ"
"203","Abby",3,5.88888888888889,6.66666666666667,2.6,3.66666666666667,4.5,-1.43597272355109,2.01152712655273,2.52018073497974,-1.71387734327494,-0.402648455854274,0.463598991856082
"204","Ada",3.16666666666667,2.33333333333333,4.77777777777778,3,2.33333333333333,3.5,-1.23363779902034,-2.38703682331878,0.295197322088394,-1.18481405387358,-1.92412710145631,-0.52793213842693
"205","Agatha",3.66666666666667,4.44444444444444,4.44444444444444,4.8,4,4,-0.626633025428078,0.224610521917433,-0.0974468095983137,1.19597074843254,-0.0222787944537642,-0.0321665732854236
"206","Alice",4.41666666666667,3.77777777777778,4.44444444444444,4,4.33333333333333,4.5,0.283874134960314,-0.600120218683476,-0.0974468095983137,0.137844169629817,0.358090866946745,0.463598991856082
"207","Alicia",3.91666666666667,3.88888888888889,4.77777777777778,3.8,4.33333333333333,3.5,-0.323130638631948,-0.462665095249991,0.295197322088394,-0.126687475070863,0.358090866946745,-0.52793213842693
"208","Amanda",3.125,4.05555555555556,4.22222222222222,4.1,4,2.75,-1.28422153015303,-0.256482410099764,-0.359209564056119,0.270109991980156,-0.0222787944537642,-1.27158048613919
"209","Amos",6.08333333333333,4.77777777777778,5.44444444444444,4,2.66666666666667,3,2.30722338026785,0.636975892217887,1.08048558546181,0.137844169629817,-1.5437574400558,-1.02369770356844
"210","Angela",3.25,3.22222222222222,4.88888888888889,4.4,2.66666666666667,1.5,-1.13247033675496,-1.2873958358509,0.426078699317297,0.666907459031177,-1.5437574400558,-2.51099439899295
"211","Anja",6,2.66666666666667,4.22222222222222,2.4,3.33333333333333,3.5,2.20605591800247,-1.97467145301832,-0.359209564056119,-1.97840898797562,-0.783018117254783,-0.52793213842693
"212","Anna",3.58333333333333,2.44444444444444,4.66666666666667,2.6,2,3.5,-0.727800487693455,-2.24958169988529,0.164315944859492,-1.71387734327494,-2.30449676285682,-0.52793213842693
"213","Artemus",6.25,5.11111111111111,3,2.4,6,5.75,2.5095583047986,1.04934126251834,-1.79890471357405,-1.97840898797562,2.25993917394929,1.70301290470985
"214","Arthur",4.33333333333333,5,3.66666666666667,3.6,6.33333333333333,3.75,0.182706672694936,0.911886139084856,-1.01361645020063,-0.391219119771542,2.6403088353498,-0.280049355856177
"215","Artifact",3,2.66666666666667,4.44444444444444,3.2,4,2.5,-1.43597272355109,-1.97467145301832,-0.0974468095983137,-0.920282409172901,-0.0222787944537642,-1.51946326870994
"216","Artifee",4.16666666666667,3.55555555555556,5.33333333333333,4.8,3.66666666666667,4,-0.0196282518358167,-0.875030465550445,0.949604208232907,1.19597074843254,-0.402648455854274,-0.0321665732854236
"217","Atlanta",5.33333333333333,3.44444444444444,6.88888888888889,4.2,2.66666666666667,1.5,1.39671621987946,-1.01248558898393,2.78194348943754,0.402375814330497,-1.5437574400558,-2.51099439899295
"218","Augusta",4.25,4.05555555555556,4.38888888888889,3.3,5.16666666666667,3.25,0.0815392104295597,-0.256482410099764,-0.162887498212765,-0.788016586822562,1.30901502044802,-0.775814920997682
"219","Austin",5.125,6.61111111111111,6,5.5,4.33333333333333,6.75,1.14379756421602,2.90498542887038,1.73489247160632,2.12183150488491,0.358090866946745,2.69454403499286
"220","Azalea",3.41666666666667,5,6.33333333333333,2.8,4,3.5,-0.930135412224209,0.911886139084856,2.12753660329303,-1.44934569857426,-0.0222787944537642,-0.52793213842693
"221","Barbara",3.91666666666667,3.55555555555556,6.44444444444444,4.6,3.33333333333333,3.5,-0.323130638631948,-0.875030465550445,2.25841798052193,0.931439103731855,-0.783018117254783,-0.52793213842693
"222","Barbi",2.75,2.66666666666667,5.77777777777778,2.6,3,2.5,-1.73947511034722,-1.97467145301832,1.47312971714852,-1.71387734327494,-1.16338777865529,-1.51946326870994
"223","Barney",5.625,4.05555555555556,3.27777777777778,2.8,5.66666666666667,4.25,1.75080233780828,-0.256482410099764,-1.47170127050179,-1.44934569857426,1.87956951254878,0.215716209285329
"224","Beleka",4.95833333333333,3.88888888888889,5.05555555555556,4.4,3.16666666666667,3.5,0.941462639685262,-0.462665095249991,0.62240076516065,0.666907459031177,-0.973202947955038,-0.52793213842693
"225","Bertha",4.41666666666667,3.44444444444444,3.44444444444444,3.8,4.66666666666667,4,0.283874134960314,-1.01248558898393,-1.27537920465844,-0.126687475070863,0.738460528347255,-0.0321665732854236
"226","Bjorn",3.5,4.33333333333333,5.88888888888889,3.8,4.66666666666667,4,-0.828967949958832,0.0871553984839477,1.60401109437742,-0.126687475070863,0.738460528347255,-0.0321665732854236
"227","Bo",2.54166666666667,2.83333333333333,5.55555555555556,3.8,2.83333333333333,2.5,-1.99239376601067,-1.7684887678681,1.21136696269071,-0.126687475070863,-1.35357260935555,-1.51946326870994
"228","Boisfeullet",3.875,3.05555555555556,4.61111111111111,3.4,3.83333333333333,2,-0.373714369764636,-1.49357852100113,0.0988752562450396,-0.655750764472222,-0.212463625154019,-2.01522883385145
"229","Boka",3.58333333333333,3.11111111111111,5.5,3.6,2.5,2,-0.727800487693455,-1.42485095928438,1.14592627407626,-0.391219119771542,-1.73394227075606,-2.01522883385145
"230","Borie",5.75,4.66666666666667,6.44444444444444,5.2,3,6,1.90255353120634,0.499520768784403,2.25841798052193,1.72503403783389,-1.16338777865529,1.9508956872806
"231","Brandy",4.45833333333333,4.22222222222222,3.16666666666667,3.8,4.5,4.25,0.334457866093001,-0.0502997249495366,-1.60258264773069,-0.126687475070863,0.548275697647,0.215716209285329
"232","Brent",5.25,3.77777777777778,2.66666666666667,3.2,6.33333333333333,4,1.29554875761408,-0.600120218683476,-2.19154884526076,-0.920282409172901,2.6403088353498,-0.0321665732854236
"233","Brian",4.41666666666667,2.66666666666667,3.22222222222222,2.8,4.66666666666667,2.5,0.283874134960314,-1.97467145301832,-1.53714195911624,-1.44934569857426,0.738460528347255,-1.51946326870994
"234","Brooks",4.91666666666667,6.11111111111111,4.77777777777778,4.8,5.33333333333333,6,0.890878908552575,2.2864373734197,0.295197322088394,1.19597074843254,1.49919985114827,1.9508956872806
"235","Buffy",2.5,1.88888888888889,5.77777777777778,4,5,1,-2.04297749714335,-2.93685731705272,1.47312971714852,0.137844169629817,1.11883018974776,-3.00675996413446
"236","Callie",2.625,4.11111111111111,5.44444444444444,4.3,3.33333333333333,3.25,-1.89122630374529,-0.187754848383022,1.08048558546181,0.534641636680836,-0.783018117254783,-0.775814920997682
"237","Carl",4.375,4.33333333333333,5,4.8,4.33333333333333,4.25,0.233290403827625,0.0871553984839477,0.556960076546199,1.19597074843254,0.358090866946745,0.215716209285329
"238","Carmichael",3.75,3.55555555555556,4.33333333333333,4.2,4,2,-0.525465563162701,-0.875030465550445,-0.228328186827217,0.402375814330497,-0.0222787944537642,-2.01522883385145
"239","Cathy",3.83333333333333,5.77777777777778,6.33333333333333,4.2,2,4,-0.424298100897324,1.87407200311925,2.12753660329303,0.402375814330497,-2.30449676285682,-0.0321665732854236
"240","Cheeta",5.33333333333333,3.22222222222222,2.88888888888889,3,5.33333333333333,4,1.39671621987946,-1.2873958358509,-1.92978609080295,-1.18481405387358,1.49919985114827,-0.0321665732854236
"241","Cheri",2.41666666666667,2.11111111111111,4.88888888888889,2.8,3.33333333333333,2.5,-2.14414495940873,-2.66194707018575,0.426078699317297,-1.44934569857426,-0.783018117254783,-1.51946326870994
"242","Christa",2.83333333333333,4.66666666666667,4.88888888888889,4.2,4,5,-1.63830764808185,0.499520768784403,0.426078699317297,0.402375814330497,-0.0222787944537642,0.959364556997588
"243","Cissie",3.91666666666667,3.77777777777778,4.22222222222222,4.2,5.33333333333333,2,-0.323130638631948,-0.600120218683476,-0.359209564056119,0.402375814330497,1.49919985114827,-2.01522883385145
"244","Claus",4.08333333333333,6,4.88888888888889,4.6,4.66666666666667,5.5,-0.120795714101194,2.14898224998622,0.426078699317297,0.931439103731855,0.738460528347255,1.45513012213909
"245","Clint",5.75,5.44444444444444,4.22222222222222,3.4,6,7,1.90255353120634,1.4617066328188,-0.359209564056119,-0.655750764472222,2.25993917394929,2.94242681756361
"246","Columbus",4.29166666666667,2.27777777777778,4,3.1,5.16666666666667,2.75,0.132122941562248,-2.45576438503552,-0.620972318513924,-1.05254823152324,1.30901502044802,-1.27158048613919
"247","Conan",4.25,4,4.72222222222222,3.9,4,2.75,0.0815392104295597,-0.325209971816506,0.229756633473943,0.00557834727947718,-0.0222787944537642,-1.27158048613919
"248","Cynthia",4.41666666666667,4.77777777777778,5.77777777777778,5.8,3,4.5,0.283874134960314,0.636975892217887,1.47312971714852,2.51862897193593,-1.16338777865529,0.463598991856082
"249","Daisey",4.5,3.66666666666667,3,2,4.33333333333333,2,0.38504159722569,-0.737575342116961,-1.79890471357405,-2.50747227737698,0.358090866946745,-2.01522883385145
"250","Dara",5.125,4.33333333333333,3.61111111111111,3.1,4.5,4,1.14379756421602,0.0871553984839477,-1.07905713881508,-1.05254823152324,0.548275697647,-0.0321665732854236
"251","David",3.79166666666667,4.22222222222222,4.16666666666667,3.4,5.16666666666667,4,-0.474881832030013,-0.0502997249495366,-0.42465025267057,-0.655750764472222,1.30901502044802,-0.0321665732854236
"252","Dobbs",4.95833333333333,2.22222222222222,3.66666666666667,2.5,4,2.25,0.941462639685262,-2.52449194675226,-1.01361645020063,-1.84614316562528,-0.0222787944537642,-1.76734605128069
"253","Dona",3.33333333333333,4.55555555555556,5.33333333333333,5.4,3.66666666666667,2.5,-1.03130287448959,0.362065645350917,0.949604208232907,1.98956568253457,-0.402648455854274,-1.51946326870994
"254","Donald",4.5,3.77777777777778,2.88888888888889,2.8,5.66666666666667,4,0.38504159722569,-0.600120218683476,-1.92978609080295,-1.44934569857426,1.87956951254878,-0.0321665732854236
"255","Dover",3.08333333333333,6.22222222222222,4.77777777777778,3.2,4.66666666666667,5,-1.33480526128572,2.42389249685319,0.295197322088394,-0.920282409172901,0.738460528347255,0.959364556997588
"256","Duff",4.58333333333333,3.77777777777778,2.66666666666667,3.2,5.33333333333333,2.75,0.486209059491067,-0.600120218683476,-2.19154884526076,-0.920282409172901,1.49919985114827,-1.27158048613919
"257","Edwina",5.25,3.44444444444444,3.55555555555556,2.7,4.16666666666667,3.75,1.29554875761408,-1.01248558898393,-1.14449782742954,-1.5816115209246,0.167906036246491,-0.280049355856177
"258","Ellie",3.25,2.11111111111111,6.44444444444444,3.2,1.66666666666667,2,-1.13247033675496,-2.66194707018575,2.25841798052193,-0.920282409172901,-2.68486642425733,-2.01522883385145
"259","Elvira",4.75,5.27777777777778,4.38888888888889,4.4,4.16666666666667,5.25,0.688543984021821,1.25552394766857,-0.162887498212765,0.666907459031177,0.167906036246491,1.20724733956834
"260","Elwood",4.83333333333333,2.66666666666667,4.88888888888889,3,2.33333333333333,2.5,0.789711446287197,-1.97467145301832,0.426078699317297,-1.18481405387358,-1.92412710145631,-1.51946326870994
"261","Ericka",6.58333333333333,3.77777777777778,3.11111111111111,2.4,6,4.5,2.91422815386011,-0.600120218683476,-1.66802333634515,-1.97840898797562,2.25993917394929,0.463598991856082
"262","Evelyne",3.54166666666667,3.94444444444444,5.83333333333333,3.4,3.33333333333333,3.5,-0.778384218826143,-0.393937533533248,1.53857040576297,-0.655750764472222,-0.783018117254783,-0.52793213842693
"263","Faye",3.83333333333333,3.94444444444444,5.16666666666667,3.7,2.66666666666667,4,-0.424298100897324,-0.393937533533248,0.753282142389553,-0.258953297421202,-1.5437574400558,-0.0321665732854236
"264","Fiona",3.16666666666667,5.11111111111111,4.77777777777778,4.6,4.66666666666667,5.5,-1.23363779902034,1.04934126251834,0.295197322088394,0.931439103731855,0.738460528347255,1.45513012213909
"265","Flora",3.625,2.61111111111111,3.38888888888889,2.9,6,3,-0.677216756560766,-2.04339901473507,-1.34081989327289,-1.31707987622392,2.25993917394929,-1.02369770356844
"266","Foxy",4.33333333333333,2.94444444444444,4.55555555555556,3,3.33333333333333,2.25,0.182706672694936,-1.63103364443461,0.0334345676305885,-1.18481405387358,-0.783018117254783,-1.76734605128069
"267","Francisca",5.25,2.77777777777778,2.77777777777778,3.2,6.66666666666667,2.5,1.29554875761408,-1.83721632958484,-2.06066746803185,-0.920282409172901,3.02067849675031,-1.51946326870994
"268","Frannie",3.08333333333333,4.88888888888889,5,4.2,5.33333333333333,5.5,-1.33480526128572,0.774431015651372,0.556960076546199,0.402375814330497,1.49919985114827,1.45513012213909
"269","Fritz",4.83333333333333,3.55555555555556,3.05555555555556,3.2,5,3.75,0.789711446287197,-0.875030465550445,-1.7334640249596,-0.920282409172901,1.11883018974776,-0.280049355856177
"270","Garbo",3.33333333333333,3.66666666666667,5.77777777777778,4.6,4.33333333333333,4,-1.03130287448959,-0.737575342116961,1.47312971714852,0.931439103731855,0.358090866946745,-0.0321665732854236
"271","Gay",5.66666666666667,3.88888888888889,3.22222222222222,3,4,3.5,1.80138606894097,-0.462665095249991,-1.53714195911624,-1.18481405387358,-0.0222787944537642,-0.52793213842693
"272","Gelb",4.875,3.16666666666667,3.05555555555556,3.2,4.66666666666667,2,0.840295177419886,-1.35612339756764,-1.7334640249596,-0.920282409172901,0.738460528347255,-2.01522883385145
"273","Georgia",6.75,4.77777777777778,2,2,3.66666666666667,6.5,3.11656307839086,0.636975892217887,-2.97683710863417,-2.50747227737698,-0.402648455854274,2.44666125242211
"274","Grayson",3.08333333333333,5.55555555555556,5.33333333333333,4,4.33333333333333,3,-1.33480526128572,1.59916175625228,0.949604208232907,0.137844169629817,0.358090866946745,-1.02369770356844
"275","Gwennie",4.5,3.44444444444444,6.22222222222222,4,3,6.5,0.38504159722569,-1.01248558898393,1.99665522606413,0.137844169629817,-1.16338777865529,2.44666125242211
"276","Heppie",3.54166666666667,3.11111111111111,5.11111111111111,4.1,3.16666666666667,2.5,-0.778384218826143,-1.42485095928438,0.687841453775101,0.270109991980156,-0.973202947955038,-1.51946326870994
"277","Hoboh",5.25,3.55555555555556,2.88888888888889,3,6.33333333333333,4,1.29554875761408,-0.875030465550445,-1.92978609080295,-1.18481405387358,2.6403088353498,-0.0321665732854236
"278","Hunter",5,3.66666666666667,3.11111111111111,2,6,3.5,0.992046370817951,-0.737575342116961,-1.66802333634515,-2.50747227737698,2.25993917394929,-0.52793213842693
"279","Iyk",3.41666666666667,2.66666666666667,5.66666666666667,3.8,3,1,-0.930135412224209,-1.97467145301832,1.34224833991962,-0.126687475070863,-1.16338777865529,-3.00675996413446
"280","Jacqueline",4.83333333333333,3.5,3.11111111111111,3.2,4.33333333333333,2.25,0.789711446287197,-0.943758027267187,-1.66802333634515,-0.920282409172901,0.358090866946745,-1.76734605128069
"281","Jaimie",3.16666666666667,6.77777777777778,5.55555555555556,4.6,3.33333333333333,5.5,-1.23363779902034,3.11116811402061,1.21136696269071,0.931439103731855,-0.783018117254783,1.45513012213909
"282","Jarred",6.58333333333333,4.88888888888889,3.22222222222222,2,5,5,2.91422815386011,0.774431015651372,-1.53714195911624,-2.50747227737698,1.11883018974776,0.959364556997588
"283","Jeanie",4.20833333333333,4.27777777777778,5.22222222222222,3.8,3,3.75,0.0309554792968709,0.0184278367672055,0.818722831004005,-0.126687475070863,-1.16338777865529,-0.280049355856177
"284","Jenda",2.95833333333333,2.27777777777778,5.33333333333333,3.2,3.5,2,-1.48655645468378,-2.45576438503552,0.949604208232907,-0.920282409172901,-0.592833286554528,-2.01522883385145
"285","Jenifere",5.33333333333333,2.66666666666667,2.77777777777778,2.8,6.66666666666667,2.5,1.39671621987946,-1.97467145301832,-2.06066746803185,-1.44934569857426,3.02067849675031,-1.51946326870994
"286","Jenny",4.16666666666667,4.55555555555556,4.88888888888889,6.6,4,5.5,-0.0196282518358167,0.362065645350917,0.426078699317297,3.57675555073865,-0.0222787944537642,1.45513012213909
"287","Jesse",3.66666666666667,3.11111111111111,6.22222222222222,3.8,3.66666666666667,3,-0.626633025428078,-1.42485095928438,1.99665522606413,-0.126687475070863,-0.402648455854274,-1.02369770356844
"288","Jewelle",5.91666666666667,3.83333333333333,3.05555555555556,3.1,5.16666666666667,5,2.1048884557371,-0.531392656966733,-1.7334640249596,-1.05254823152324,1.30901502044802,0.959364556997588
"289","Jimmy",4.54166666666667,3.11111111111111,4.72222222222222,3.5,3,3.75,0.435625328358379,-1.42485095928438,0.229756633473943,-0.523484942121882,-1.16338777865529,-0.280049355856177
"290","Jimoh",4.83333333333333,4.55555555555556,5.66666666666667,5.4,2.33333333333333,3,0.789711446287197,0.362065645350917,1.34224833991962,1.98956568253457,-1.92412710145631,-1.02369770356844
"291","Jolson",5.04166666666667,4.88888888888889,4.5,3.7,4.83333333333333,5.25,1.04263010195064,0.774431015651372,-0.0320061209838626,-0.258953297421202,0.928645359047509,1.20724733956834
