chimp,openness,aggreeableness,methodical,reactivityscale,dominance,extroversion,meanactive,meanaffectionatefriendly,meanaffiliative,meanaggressive,meananxious,meanautistic,meanbold,meanbullying,meancalm,meancautious,meanconsideratekind,meandeceptive,meandefiant,meandependent,meandepressed,meandominant,meaneccentric,meanexcitable,meanfearful,meanhumanoriented,meanimpulsive,meaninquisitivecurious,meanintelligent,meaninventive,meanirritable,meanJealousattentionseeking,meanmanipulative,meanmethodical,meanmischevious,meanpersistent,meanplayful,meanpredictable,meanprotective,meanrelaxed,meanselfcaring,meansexual,meansociallyinept,meansolitary,meanstingy,meantemperamentalmoody,meantimid
Abbey     ,4.4,4.21,4.17,3.15,2.98,3.5,2.75,4.42,3.5,2.25,3.17,2.92,2.83,3.58,5.08,4.83,4.25,2.5,3.08,4.17,3.67,3.08,3.5,3.58,3.5,5.08,3.08,4.5,4.5,3.33,3.08,3.17,3.5,4.17,3.25,4.58,3.33,4.58,4.17,4.75,4.17,3.25,2.33,4.17,4,3.08,3.17
ADONIS    ,3.78,3.37,4.27,3.18,2.7,3.66,3.53,3.87,3.93,3.33,3.8,3.07,3,2.93,5,4.13,3.67,2.67,3.4,3.73,3.87,2.8,3.33,4.27,4.07,3.33,3.47,3.8,4.27,3.47,3.13,3,3.13,3.93,3,3.93,4,4.33,3.08,4.29,4.6,3.29,3.33,4.93,3.13,2.93,4.73
Ahni      ,4.49,3.89,4.62,3.17,2.14,4.08,4.46,5.31,4.08,2.77,4.46,3.31,2.77,2.46,4.92,5.23,4.54,3.08,3.08,4,3.31,2.54,3.31,4.23,5.38,4.85,3.08,4.62,4.31,3.54,3,3.62,2.92,4.08,3.31,4.31,4.15,4.54,3.25,4,5.15,3.54,3.85,4.46,2.62,3.54,5.08
AJAX      ,4.23,3.38,4.23,3.98,3.32,4.59,4.46,4.08,4.38,4.62,4.31,3.15,4.62,4.54,3.62,4.23,3.38,3.85,4.08,3.77,2.69,4.31,3.62,4.15,3.08,4,3.23,4.15,4.92,3.85,4,4.08,3.92,4,4.23,4.38,3.92,4.54,3.38,3.77,4.46,4.92,3,3.46,4.69,3.92,2.77
AKIMEL    ,5.09,3.69,4.5,4.55,3.69,4.85,5.38,4.62,4.85,4.77,4.46,3.46,5.38,4.85,3,3,3.85,4,4.92,3.08,2.38,5.31,4.62,5.54,3.23,5.85,4.69,5.23,5.08,4.77,4.54,5.62,4,4.15,4.62,5,4.38,4.38,3.54,3.67,4.85,4.33,4.23,3.46,4.23,4.54,3.08
Alex,4.74,4.76,4.79,3.91,3.93,5.09,5,5.07,5.08,4.4,3.64,2.64,5.5,4.71,4.21,3.54,4.67,3.86,4,3.71,2.6,5.47,3.38,4.53,2.86,4.53,3.79,5,4.73,4.46,3.79,4.07,4.5,4.64,3.67,4.64,4.93,4.4,4.86,4.86,4.93,5.43,3.07,3.31,4.8,3.93,2.64
ALLIE     ,5.82,3.69,5.44,4.77,4.17,4.35,5,4.33,4.33,4.67,2.67,3.36,5.82,5.45,4.36,2.73,3.82,5.45,4.08,3.25,2.92,5.83,4.33,4.83,3.25,6.36,4.73,6.09,6.27,6,4.91,6,6,5.25,4.92,5.83,5.25,4.5,3.56,4.6,5.64,2.8,3.91,4.36,5.82,4.75,3
Alpha,5.49,4.63,5,3.69,3.37,4.46,4.69,5,5.08,3,3,2.33,4.92,3.75,4.54,4,4.5,4.23,4.08,3.77,3,3.23,3.69,3.77,4,6.67,4.31,5.15,5.92,5.5,3.46,4.62,4.38,4.91,4.15,4.69,3.92,5,4.75,4.92,5.08,4,2.69,3.92,4,3.54,3.33
Angie,4.03,3.81,4.35,3.21,2.47,3.91,3.9,4.4,3.4,3.8,3.7,2.8,2.8,3.4,4.2,4.9,3.9,3.1,3.1,4.2,3.3,3,3.4,3.3,4.5,4.3,3.5,3.9,4.2,3.3,3.1,2.9,3.1,3.8,3.4,4.1,3.8,4.7,3.71,4.2,4.9,3.56,3.5,3.9,2.9,3,4.9
April,4.55,4.85,4.97,3.87,2.66,4.68,4.73,4.27,4.91,3.73,4.45,3,4.3,3.7,4.3,5.18,4.5,4.18,3.91,4.73,3.09,3.64,3.18,4.64,4.18,4.36,4.27,4.9,5.1,4.2,3.9,4.73,4.18,4.55,4.18,4.45,4.09,4.55,5.2,3.91,5.4,4.64,3.09,3.18,3.73,3.82,4
ARMOND    ,4.57,3.42,4.89,5.14,3.62,4.31,4.93,4,3.86,5.93,4.5,3.43,5.43,5.71,2.93,3,3,5.21,5.29,3.64,2.86,5.86,4.57,5.71,3.07,4.57,4.93,4.79,4.71,4.5,5.57,5.43,4.93,4.71,5,4.86,3.79,4.57,3.83,2.79,5.07,4.23,4.21,4.07,6.07,5.93,2.86
Austin,4.53,4.5,4.57,3.93,3.19,4.59,4.92,4.69,4.92,4.15,3.92,3.33,4.5,4.58,4.17,4.38,4.75,3.77,3.92,4.31,3.46,4.62,3.46,4.54,3.77,4.15,4.15,4.83,4.92,4.25,3.83,4,4.08,4.31,4.15,4.31,4.23,4.23,4.25,4.33,4.83,4.62,3.08,3.69,4,3.77,3.54
Bahn,3.88,3.75,4.35,3.44,2.84,4.25,3.7,3.7,4.1,3.7,4.2,2.8,3,3.1,4.5,4.7,4.2,3.2,3.7,3.4,2.9,3.1,3.6,3.4,3.3,3.6,3.2,4,4.2,3.4,3.4,4,3.5,4.4,3.9,4.4,4.4,4.9,3.3,4.2,4.3,4.3,3,4.1,3.4,3.8,4
BART      ,4.44,5.14,4.45,3.26,3.28,4.92,4.55,5,5.18,3.55,3.55,2.45,4,3.64,4.55,4.18,5.18,3.18,3.27,4.36,2.64,4,3.09,4,3.27,3.91,3.36,4.45,4.55,4.36,3,3.45,3.55,4.27,3.18,4.36,4.55,4.82,5.09,5,4.64,5,2.82,3.1,3.27,3.27,3.36
Bashful,4.36,4.94,4.16,3.8,3.51,4.16,3,4.85,4.62,4.5,3.15,2.78,4.2,4.38,4.78,3.8,5,4.22,3.36,4.27,3,4.67,4.18,4,3.3,4.7,3.56,3.6,4.67,3.89,3.63,3.46,4.45,3.82,3.83,4.45,3,4.54,4.88,5,4.5,4.89,3.3,3.55,4.7,3.75,3.27
Becca,4.96,4.46,4.39,3.35,2.54,4.7,4.64,5.64,4.93,2.36,4.21,2.86,3.36,2.5,4.14,4.79,5,3.21,3.79,4.5,3.43,3.07,4.5,3.57,4.5,5.64,3.93,4.86,4.79,4.57,2.93,4.43,3.29,4,3,4.23,5.14,4.64,3.92,3.29,4.79,4.86,2.86,3.93,3.43,3.07,3.43
BERNADETTE,4.63,4.22,4.42,3.52,2.42,3.72,3.17,5,4.25,3.08,4.33,2.92,3.17,2.92,4.33,5.17,4.55,3.64,3.75,4.5,3.5,3.45,3.67,3.75,4.36,5.25,3.75,4.08,4.83,4.27,3.91,4,3.73,4,3.5,4.36,3.17,4.67,3.9,4.08,4.83,3.73,2.82,4.5,3.45,3.67,5
BERNIE    ,4.39,4.04,4.54,3.68,3.04,3.7,3,4.36,4.07,3.79,3.86,3.21,3.93,4.07,4.29,4.43,4.36,3.93,3.79,4.5,3.14,4.21,3.57,3.79,4,4.21,3.21,4.21,4.71,4.36,3.5,3.86,3.79,4.5,3.36,4.5,3.14,4.86,3.71,4.64,4.57,3.57,3.21,4.43,4.21,3.86,3.71
Beta,4.8,4.65,4.61,4.43,3.16,5.21,5.33,4.75,5.25,4,4.08,3.4,5,5.1,3.9,4.36,4.7,4.73,4.75,4.5,2.67,3.83,3.83,4.58,3.75,4.45,4.27,4.7,4.9,4.9,4.4,5.17,4.33,4.42,5.36,5.08,5.08,4.58,4.6,4.27,4.8,5.55,3,3.27,4.91,4.58,3.17
Betty,4.49,4.67,4.33,4.29,3.77,4.3,3.54,4.92,4.46,4.92,3.62,2.92,5.15,5.17,4.69,4,4.08,4.42,4.33,3.75,2.75,5.77,3.75,4.75,3.42,4.33,4.08,4.46,4.46,4,4.42,4.23,5.42,4,4.31,4.77,3.46,4.54,5.25,4.69,4.67,4.5,2.75,3.38,5.42,4.31,2.67
Billy,4.41,4.45,4.47,4.08,3.24,4.9,4.79,5,4.71,4.5,3.64,3.5,4.5,4.57,4.21,4.57,4.36,3.71,4.5,4.21,2.71,5,3.21,4.71,3.71,4.15,4.54,4.77,3.92,4.08,4.08,4.69,3.92,4.23,3.77,4.54,4.92,4.69,4.54,4.08,4.71,4.93,3.57,3.21,4.14,4.14,3.5
Bo2,4.85,4.25,4.38,4.3,3.74,5.12,5.06,4.56,5.06,5.13,4.06,2.63,5.53,5.13,3.25,3.44,4,3.81,4.4,3.4,2.06,5.87,3.8,5.33,3.07,5,4.43,4.87,5.19,4.5,4.27,5.27,4.07,4.13,4.4,5,4.73,5.06,4.5,3.38,4.63,5.13,3.4,3.19,4.69,4.13,2.87
BRIA      ,4.63,4.32,4.39,3.69,2.14,4.92,5.29,4.79,4.93,3.5,4.57,3.29,3.29,3,3.86,5.43,4.5,3.08,3.71,5.29,3,2.93,4.14,4.21,4.71,4.29,3.86,4.79,5.07,4.36,3.57,3.93,3.5,4.14,4.5,4.5,4.93,4.21,4.14,3.5,4.64,4.71,3.29,3.36,3.29,4.07,4.57
CASSIE    ,4.32,4.5,4.67,3.5,2.35,4.51,4.93,4.2,5,3.2,4.6,3.5,3.87,3.13,4.47,5.13,4.47,3.13,3.67,5.07,3.13,3,3.13,4.33,4.53,3.79,3.8,4.8,4.47,4.4,3.2,4.07,3.27,4.14,3.47,4.27,4.07,4.8,4.53,3.93,5.2,4.47,3.13,4.27,3.87,3.2,4.67
CECELIA   ,4.47,4.33,4.4,3.73,2.2,4.56,5.07,4.4,4.6,3.47,4.67,2.93,3.13,3.87,4.27,4.73,4.13,3.6,3.53,5.27,3.33,3.07,3.6,3.87,4.87,4,4.07,4.6,4.6,4.67,3.73,4.33,3.8,4,3.8,4.53,4.33,4.47,4.53,3.5,4.8,4.4,3.53,3.73,4.33,4.07,4.53
CHECHEKUL ,5.27,4.49,4.8,3.91,3.4,4.67,4.6,4.4,5.1,3.9,3.8,3.7,4.5,3.2,3.7,3.8,4.4,4.4,3,3.7,3.3,4.7,3.3,3.7,3.7,5.1,4.2,4.4,8.6,4.5,3.8,4.7,4,4.5,4.1,4.6,4.3,4.7,4.57,4.33,5.1,4.2,4,2.9,4.2,4.3,3.3
Cheopi,4.63,3.22,4.39,3.28,2.8,4.02,3.56,4.56,3.67,2.89,3.33,2.78,2.89,2.78,5.44,4.33,3.78,3.22,3.67,4,2.78,3.22,3.44,3.22,4.33,4.78,3.56,3.89,5.44,4.22,3,4.11,3.22,4,4.22,4.89,4.22,5.22,2.67,4.75,4.78,4,3.56,4.56,3.89,3.22,4.44
Chester,5.03,4.66,5.08,4.43,3.8,5.47,5.67,4.75,5.33,5.08,3.83,2.42,5.67,5.58,3.33,3.33,4.42,4.25,4.92,3.92,2.58,5.58,3.42,5.25,3,4.58,4.58,5.25,5.67,4.5,3.67,5.08,5.25,4.83,4.58,5.42,5.17,4.75,4.91,3.5,5.33,5.42,2.92,2.17,5.75,3.92,2.25
CHINOOK   ,4.74,4.25,5.09,4.41,2.98,5.18,5.36,4.55,5.27,5,4.82,3,5,4.82,3.27,4.82,3.91,4.27,3.91,4.36,2.55,4.91,3.91,5,4,5.09,4.27,4.91,4.91,4,4.55,5.27,4.36,4.73,4.64,5,4.55,4.91,4.6,3.09,5.45,5.55,3.45,3.09,5.18,4.64,3.18
CHRISSY   ,3.98,4,3.56,3.52,3.13,3.96,3.33,4.33,4.67,3.11,3.22,2.89,3.67,3.78,4.11,3.78,4,3.44,3.78,4,2.89,3.33,3.33,4.11,3.33,4.11,3.78,4.33,3.89,3.33,3.89,3.33,3.67,3.44,3.11,3.89,3.22,4.56,4,4.29,3.67,3.22,2.78,3.78,3.67,3.67,3.89
COCO      ,4.35,4.1,4.42,3.73,3.39,4.35,3.62,4.77,4.69,3.92,3.15,2.92,3.85,3.83,4.58,4.15,4.27,3.46,3.69,4,2.92,4.54,3.54,3.92,3.54,3.92,3.85,4.46,4.69,4.08,4.08,4.31,3.77,4.33,3.54,4.17,4.08,4.15,3.92,5,4.5,4.38,2.46,3.77,4.31,4.15,3.38
CODY      ,5.05,4.4,4.62,4.53,3.57,5.19,5.69,5,4.77,5.46,4.08,3.08,5.54,5.77,3.38,4.15,4.46,4.38,4.54,3.92,2.85,5.62,3.69,5.54,3.69,5.54,5,5.23,5.23,4.38,4.08,5.23,4.23,4.15,4.46,4.92,5.08,4.69,4.33,4.31,5.08,5.31,3.23,2.85,5.31,4.08,3.08
