"","ID","location","Age","Sex","fWHR","Dom","Ext","Con","Agr","Neu","Opn","Subspecies","instrument"
"1","28aaaaf6","b9c70733",23,1,1.465517241,4.68888888893333,4.0666666666,4.40476190478571,2.72222222233333,4.6666666666,2.8333333335,"verus","07995578"
"2","28aaaaf6","b9c70733",23,1,1.349206349,4.68888888893333,4.0666666666,4.40476190478571,2.72222222233333,4.6666666666,2.8333333335,"verus","07995578"
"3","dda22d40","a7adef23",NA,1,1.280845,4.86875,5.02833333333333,4.00333333333333,4.765,3.9,4.73,"troglodytes","99391edf"
"4","8ea5afd2","a7adef23",NA,0,1.36259,4.225,4.62833333333333,4.165,4.625,3.64,5.325,"troglodytes","99391edf"
"5","8ea5afd2","a7adef23",NA,0,NA,4.225,4.62833333333333,4.165,4.625,3.64,5.325,"troglodytes","99391edf"
"6","ecc2246d","a7adef23",NA,0,1.466821,3.3,4.05,4.76666666666667,3.805,3.5,3.6,"verus","99391edf"
"7","bfc5a6ff","a7adef23",NA,0,1.369839,3.62625,4.62166666666667,3.94,4.85,3.84,4.55,"troglodytes","99391edf"
"8","4acd2149","b9c70733",13,1,1.866666667,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,"verus","07995578"
"9","4acd2149","b9c70733",13,1,1.916666667,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,"verus","07995578"
"10","4acd2149","b9c70733",13,1,1.456140351,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,"verus","07995578"
"11","4acd2149","b9c70733",13,1,1.708333333,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,"verus","07995578"
"12","19caa3db","a7adef23",NA,1,NA,5.125,6.61111111111111,6,5.5,4.33333333333333,6.75,"troglodytes","99391edf"
"13","19caa3db","a7adef23",NA,1,NA,4.19375,4.60166666666667,4.03,4.5,3.94333333333333,4.54,"troglodytes","99391edf"
"14","19caa3db","a7adef23",NA,1,1.443333,5.125,6.61111111111111,6,5.5,4.33333333333333,6.75,"troglodytes","99391edf"
"15","19caa3db","a7adef23",NA,1,1.443333,4.19375,4.60166666666667,4.03,4.5,3.94333333333333,4.54,"troglodytes","99391edf"
"16","19caa3db","a7adef23",NA,1,NA,5.125,6.61111111111111,6,5.5,4.33333333333333,6.75,"troglodytes","99391edf"
"17","19caa3db","a7adef23",NA,1,NA,4.19375,4.60166666666667,4.03,4.5,3.94333333333333,4.54,"troglodytes","99391edf"
"18","8e023637","b9c70733",8,1,2.222222222,4.26666666666667,4.5333333334,4.64285714292857,3.27777777766667,3.9333333334,5,"verus","07995578"
"19","8e023637","b9c70733",6,1,1.549019608,4.26666666666667,4.5333333334,4.64285714292857,3.27777777766667,3.9333333334,5,"verus","07995578"
"20","dd05b4a5","a7adef23",NA,1,1.666667,3.5375,4.15,4.36666666666667,3.75,3.5,3.7,"verus","99391edf"
"21","280d3313","a7adef23",NA,0,1.471426,4.4325,4.15333333333333,4.29,4.94,3.8,3.745,"troglodytes","99391edf"
"22","7b0ab181","a7adef23",NA,0,1.499975,3.42875,4.83166666666667,4.58166666666667,4.46,3.97666666666667,4.715,"troglodytes","99391edf"
"23","196d3a3e","a7adef23",NA,0,NA,4.34125,5.07833333333333,3.47166666666667,4.65,4.17,4.8,"troglodytes","99391edf"
"24","196d3a3e","a7adef23",NA,0,1.567347,4.34125,5.07833333333333,3.47166666666667,4.65,4.17,4.8,"troglodytes","99391edf"
"25","4a6ab8ac","a7adef23",NA,0,1.406688,4.93375,4.375,3.61833333333333,4.665,3.93666666666667,4.23,"troglodytes","99391edf"
