Tournament,Team Name,Speaker Name,Average Speaker Score,Speaker Sex
Worlds 2013,Worlds Galatasaray A,Engin Arıkan,77.77777778,Male
Worlds 2013,Worlds Galatasaray A,Akın Egemen,74.55555556,Unknown
Worlds 2013,Worlds Yonsei Underwood B,Kyung Woong Koh,72.88888889,Female
Worlds 2013,Worlds Yonsei Underwood B,SeungHun Lee,71.55555556,Unknown
Worlds 2013,Worlds Yonsei Underwood A,Yoon Ji Ko,77.44444444,Unknown
Worlds 2013,Worlds Yonsei Underwood A,SungRyul Park,77,Unknown
Worlds 2013,Worlds Texas A&M A,Syed Muhammad Taha,73.88888889,Male
Worlds 2013,Worlds Texas A&M A,Alya Al Harthy,72.22222222,Female
Worlds 2013,Worlds Texas A&M B,Muhammad Hisham Uddin,69.66666667,Male
Worlds 2013,Worlds Texas A&M B,Mohammad Hossein Ghamary,68.44444444,Male
Worlds 2013,Worlds Loyola Marymount A,Krikor Kouyoumdjian,77.33333333,Unknown
Worlds 2013,Worlds Loyola Marymount A,Bryant Lin,77.11111111,Male
Worlds 2013,Worlds Yale C,Sesenu Woldemariam,80.66666667,Unknown
Worlds 2013,Worlds Yale C,Zach Bakal,80.11111111,Male
Worlds 2013,Worlds Yale B,Andrew Connery,82.33333333,Male
Worlds 2013,Worlds Yale B,Michael Barton,81.55555556,Male
Worlds 2013,Worlds Yale A,Maxwell Dovala,81.33333333,Male
Worlds 2013,Worlds Yale A,Ben Kornfeld,81.22222222,Male
Worlds 2013,Worlds Korea A,Jee Soo Kang,77.11111111,Unknown
Worlds 2013,Worlds Korea A,Shin Jae Yong,75.22222222,Unknown
Worlds 2013,Worlds Inner Temple A,Chris McGeever,76.11111111,Male
Worlds 2013,Worlds Inner Temple A,Belize Harrison,76,Unknown
Worlds 2013,Worlds Witwatersrand C,Zuhayr Tayob,74.33333333,Male
Worlds 2013,Worlds Witwatersrand C,Athinangamso Esther Nkopo,72.33333333,Unknown
Worlds 2013,Worlds Ateneo Manila C,Nicolo Antonio Fortuna,80.22222222,Male
Worlds 2013,Worlds Ateneo Manila C,Dwight Garvy Tan,78.88888889,Male
Worlds 2013,Worlds Int Christian A,Shunichi Arai,73.88888889,Male
Worlds 2013,Worlds Int Christian A,Yuki Tanaka,72.66666667,Female
Worlds 2013,Worlds Ljubljana A,Barbara Zitek,73.66666667,Female
