capuchin,Fearful,Dominant,Persistent,Cautious,Stable,Autistic,Curious,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Innovative,Active,Helpful,Bullying,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Submissive,Cool,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Depressed,Conventional,Sensitive,Defiant,Intelligent,Protective,Quitting,Inventive,Clumsy,Erratic,Friendly,Anxious,Lazy,Disorganized,Unemotional,Imitative,Independent,n_missing,Freq,cap_Ast,cap_Opn,cap_Neu,cap_Soc,cap_Att,Perdue2015.vis.1,Perdue2015.vis.2,Perdue2015.vis.3,Perdue2015.occ.1,Perdue2015.occ.2,Bramlett2012.1,Bramlett2012.2,Bramlett2012.3,Bramlett2012.4,Bramlett2012.5,Bramlett2012.6,Beran2016.1.rotTray.1,Beran2016.1.rotTray.2,Beran2016.1.accum.1,Beran2016.1.accum.2,Beran2016.2.rotTray.1,Beran2016.2.rotTray.2,Beran2016.2.accum.1,Beran2016.2.accum.2,Beran2016.4.accum.pretest,Beran2016.4.rotTray.1,Beran2016.4.rotTray.2,Beran2016.4.rotTray.3,Beran2016.4.accum.posttest,Evans2012.1.1,Evans2012.1.2,Evans2012.1.3,Evans2012.1.4,Evans2012.2.foods,Evans2012.2.tokens,Evans2014.wait.stbl.1,Evans2014.wait.stbl.2,Evans2014.wait.toler.1,Evans2014.wait.toler.2,Evans2014.work.stbl.1,Evans2014.work.stbl.2,Evans2014.work.toler.1,Evans2014.work.toler.2,Addessi2013.ITchoic,Addessi2013.accum5.,Addessi2013.accum50
Bailey,6.333333333,3.333333333,3.666666667,7,4.666666667,3,5.333333333,4,2.333333333,2.666666667,3,2.333333333,4.666666667,3.333333333,7,4.333333333,2.666666667,3,6,4.333333333,4,4,1.333333333,1.333333333,2,6,5,4.333333333,3,3.666666667,7,4,4.666666667,2.333333333,4,5.333333333,4,3.333333333,4.333333333,4.666666667,1.666666667,4.666666667,2.666666667,2.666666667,4,2.666666667,2.333333333,5.333333333,6,3.333333333,3.333333333,3.666666667,3.333333333,2.666666667,0,3,2.020833333,3.861111111,3.666666667,4.523809524,4.619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.2,1.2,1.6,NA,NA,NA,NA,6.8,1,3,3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beeker,4,4,5,3.666666667,3.333333333,2,4.666666667,4,5.666666667,6,4.333333333,4.666666667,4.666666667,5.333333333,2.666666667,2.333333333,6,2.666666667,4.333333333,3.333333333,5.666666667,2.333333333,6.333333333,6.333333333,5.666666667,2.666666667,3.333333333,6,4.333333333,5.333333333,3,3,4,6,3.666666667,4,3.666666667,2.666666667,3.666666667,3,6,4,2,3.333333333,3,2.666666667,4.666666667,3.666666667,4,2,3.333333333,3,4.333333333,4,0,3,5.020833333,4.861111111,4.875,4.619047619,3.80952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benny,5,3.666666667,4.666666667,5,4,2.333333333,5.666666667,3.666666667,4.666666667,3.666666667,5,3.333333333,4.666666667,4.333333333,4.666666667,4,3.666666667,4,4.333333333,3.333333333,4.333333333,3.666666667,2.666666667,2.333333333,2.666666667,5,4.666666667,4.333333333,5,5.333333333,5.333333333,3,4.333333333,2.666666667,4.666666667,4,4.333333333,3,3.666666667,4.666666667,2.333333333,4.666666667,3,3.666666667,4,2.333333333,4,5,4.666666667,3,3.333333333,3,3.333333333,3.333333333,0,3,3.208333333,4.194444444,4.375,4.619047619,4.19047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3,4,4.4,NA,NA,NA,NA,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bias,6.666666667,3.666666667,4.333333333,6.666666667,5.333333333,3.333333333,4.666666667,4.333333333,2.333333333,2.333333333,3.333333333,2.333333333,4.333333333,3.333333333,6.666666667,4.333333333,2.333333333,3,6,2.666666667,2.666666667,4,2,1.666666667,2,6.333333333,5,4.666666667,3,3.333333333,6.666666667,4.333333333,4,2,3.666666667,5.333333333,4,3.666666667,5,4.333333333,1.333333333,4.666666667,2.333333333,4,2.666666667,4.666666667,2.333333333,5,6,3.666666667,3.333333333,3.666666667,2.666666667,3,0,3,2.145833333,3.166666667,3.583333333,4.333333333,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.4,5.5,4.2,NA,NA,NA,NA,1.6,1,1,1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drella,4.25,5,5.328680203,4.75,3.75,3,4.75,2.746202532,4.4819202,3.938295165,5,2.784090909,5.25,4,3.25,3.687665782,3.5,2.84497549,4.144900498,4,4,4.184108527,4,4,4.25,3.5,4.305831266,4,3.657994924,4.25,3.25,3.961195929,3.5,3.75,3.329427083,4.25,4.334605598,2,4.5,4.288860104,3.29251269,4.25,4.076196474,3.138020833,4,3.75,3.5,4.25,3,3.5,2.744936709,3.5,3.75,4.5,4.75,4,4.128712861,4.144431005,4.021815952,4.994407968,4.587648886,100,25,80,100,0,0.75,0.714285714,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,2.38,2,1.75,1.2,1.3,25,25,19.5,93,10,115,3.1,3.6,73.3,1.42,2.38
Gabe,3,7,4.828680203,3.328784119,4.75,1.5,5.25,1.996202532,6,5.188295165,3.75,3.5,4.25,4.75,1.5,3.187665782,2.75,2.5,1.25,3.25,4.5,3.934108527,6.5,6.25,4.443467337,2.75,3,5.5,3.907994924,4.75,1.25,3.211195929,1.25,4.75,3.079427083,4.25,5.084605598,1.75,4.056532663,3.75,2.54251269,5,4.576196474,3.638020833,3.5,1.75,2.25,4,3.25,2.25,2.244936709,2,3.25,5.25,4,4,5.659561149,4.056386616,4.365565952,4.892857143,5.123363172,45,5,30,80,40,0.5625,1,0,NA,NA,NA,2.6,2.4,4.4,3.6,5.6,3.8,5.2,5,NA,NA,NA,NA,NA,3.13,5.38,1.71,1.7,3.9,1.4,70,35,58.5,32.5,90,30,2.3,2.1,93.3,3.13,5.38
Gambit,6.8,1.2,2.062944162,6.2,1.8,4.091358025,3,3.396962025,3.78553616,2.550636132,6.8,2.227272727,2.2,5.4,6.4,3.750132626,2.4,5.4,6,3.2,5.2,3.147286822,1.6,2,2.2,3.4,3.244665012,6.4,5.526395939,3,6.8,1.568956743,4.2,4.8,3.663541667,3.6,2.667684478,3.50962963,3.8,4.431088083,1.6,3.4,2.660957179,4.510416667,3.2,3,5,3.4,6.8,2,4.395949367,2.2,3.8,3.476119403,3.8,5,2.502472776,3.429377291,5.542452761,3.006239623,3.755833395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,20,49.5,37.5,105,10,2.5,3,NA,NA,NA
Gonzo,4.666666667,4.333333333,4.333333333,3.333333333,3.666666667,2,3.666666667,4,5.666666667,5.333333333,4.333333333,4.666666667,4,4.333333333,2.666666667,2.333333333,5.666666667,2.333333333,3,4.333333333,6,2,6.333333333,6,5.666666667,2.333333333,3,5.666666667,4.333333333,5.333333333,3,2.666666667,3.333333333,5.333333333,4,4,3.666666667,2,3.333333333,3.333333333,6,5.666666667,2.333333333,3.666666667,4.333333333,2.666666667,4,3,4.666666667,2,3.666666667,2.666666667,4.333333333,4.333333333,0,3,5.083333333,4.916666667,4.875,4.428571429,3.904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.2,1.6,1.4,NA,NA,NA,NA,3.2,1,3,4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gretel,5.666666667,3.333333333,4.666666667,5.333333333,3.666666667,2.333333333,4,4.333333333,3.666666667,3.333333333,4.333333333,3.333333333,3.333333333,4.666666667,5.333333333,4,5,4.666666667,3.666666667,4,4.333333333,3.666666667,2.333333333,3,2.666666667,4,3.666666667,4.666666667,4,3.666666667,6,3.333333333,4,4,3.666666667,4.333333333,3.666666667,4,3.666666667,4,2.666666667,4.666666667,2.666666667,4,4,2.333333333,3.666666667,3.666666667,4.333333333,3,3.666666667,3.333333333,3.333333333,4,0,3,3.229166667,4.083333333,4.291666667,3.904761905,4.19047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4.4,3.6,4,NA,NA,NA,NA,4.2,1,1,3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Griffin,3,7,4.578680203,2.328784119,3,1.75,5,2.246202532,6.25,5.688295165,4.75,4.25,4.25,4.75,1.5,3.25,2.75,2.25,1.5,3.5,5.25,3.684108527,6.75,6.5,4.693467337,2,2.5,5.25,4.407994924,5,1,2.961195929,1.25,4.75,2.829427083,4.25,5.084605598,1.637037037,4.306532663,2.75,2.79251269,4.25,5.076196474,3.888020833,3.75,2.5,3.232800983,3.75,3.75,2.75,2,2,3.5,6,4,4,5.956436149,4.098053283,4.639024175,4.73042328,4.875096847,100,95,100,100,90,0.583333333,0.666666667,0.681818182,1,1,1,3.8,4,4,4.2,1,1,1,1,NA,NA,NA,NA,NA,2.75,3.5,3.38,3.05,3.2,3,15,30,44,40.5,15,10,2.4,2.4,76.7,2.75,3.5
