Capuchin,Rater,Location,Fearful,Dominant,Persistent,Cautious,Stable,Autistic,Curious,Thoughtless,Stingy.Greedy,Jealous,Individualistic,Reckless,Sociable,Distractible,Timid,Sympathetic,Playful,Solitary,Vulnerable,Innovative,Active,Helpful,Bullying,Aggressive,Manipulative,Gentle,Affectionate,Excitable,Impulsive,Inquisitive,Submissive,Cool,Dependent.Follower,Irritable,Unperceptive,Predictable,Decisive,Depressed,Conventional,Sensitive,Defiant,Intelligent,Protective,Quitting,Inventive,Clumsy,Erratic,Friendly,Anxious,Lazy,Disorganized,Unemotional,Imitative,Independent,n_missing,Freq,cap_Ast,cap_Opn,cap_Neu,cap_Soc,cap_Att
Bailey,Taylor,Frans Lab,6,1,2,7,2,1,4,4,3,3,4,3,4,4,7,5,3,4,6,4,4,4,2,2,3,7,6,6,4,4,7,3,5,3,5,4,4,4,4,5,2,5,2,4,4,3,3,6,6,3,4,2,4,3,0,3,2.125,3.66666666666667,4.75,4.71428571428571,4.14285714285714
Bailey,Sarah,Frans Lab,6,2,2,7,5,1,5,1,2,3,2,2,5,3,7,4,3,3,6,5,4,4,1,1,2,6,5,3,2,4,7,5,5,2,2,6,4,1,4,5,2,4,4,1,4,2,2,5,6,3,3,5,2,3,0,3,1.875,3.91666666666667,3,5.14285714285714,5.57142857142857
Bailey,Tara,Frans Lab,7,7,7,7,7,7,7,7,2,2,3,2,5,3,7,4,2,2,6,4,4,4,1,1,1,5,4,4,3,3,7,4,4,2,5,6,4,5,5,4,1,5,2,3,4,3,2,5,6,4,3,4,4,2,0,3,2.0625,4,3.25,3.71428571428571,4.14285714285714
Beeker,Tara,Frans Lab,4,4,4,4,4,4,4,4,6,6,5,5,5,7,2,2,7,2,4,4,7,2,7,7,7,2,4,6,5,7,2,3,4,7,4,5,3,2,3,3,6,3,1,4,3,4,4,3,4,2,4,3,4,4,0,3,5.4375,5.08333333333333,4.875,4.57142857142857,3.28571428571429
Beeker,Taylor,Frans Lab,3,4,5,3,3,1,5,4,6,6,4,5,3,4,3,2,6,4,4,4,5,3,6,6,4,3,2,6,4,4,3,3,3,6,4,4,4,4,4,3,6,5,2,4,4,2,5,3,4,2,4,3,4,5,0,3,5.125,4.75,4.875,3.85714285714286,4
Beeker,Sarah,Frans Lab,5,4,6,4,3,1,5,4,5,6,4,4,6,5,3,3,5,2,5,2,5,2,6,6,6,3,4,6,4,5,4,3,5,5,3,3,4,2,4,3,6,4,3,2,2,2,5,5,4,2,2,3,5,3,0,3,4.5,4.75,4.875,5.42857142857143,4.14285714285714
Benny,Tara,Frans Lab,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,3,5,5,4,4,3,3,2,2,4,3,4,4,5,6,3,4,3,5,5,4,4,4,4,2,5,2,5,4,3,3,5,5,4,3,3,4,3,0,3,3.375,3.91666666666667,4,3.57142857142857,3.85714285714286
Benny,Taylor,Frans Lab,5,3,3,5,3,1,5,4,5,4,5,3,4,4,5,4,4,4,4,4,5,4,3,3,3,5,5,5,5,4,5,3,5,3,4,4,4,3,4,5,3,5,3,4,5,2,4,5,5,2,4,3,4,3,0,3,3.25,4.25,4.625,4.71428571428571,4.28571428571429
Benny,Sarah,Frans Lab,5,3,6,5,4,1,7,2,4,3,5,3,6,4,5,4,4,3,4,2,4,4,2,2,3,6,6,4,6,7,5,3,4,2,5,3,5,2,3,5,2,4,4,2,3,2,5,5,4,3,3,3,2,4,0,3,3,4.41666666666667,4.5,5.57142857142857,4.42857142857143
Bias,Taylor,Frans Lab,6,2,2,6,3,1,3,5,3,3,4,3,4,4,6,5,2,4,7,3,3,4,2,2,3,7,6,6,3,3,6,3,5,2,4,4,4,4,4,5,2,5,2,4,3,5,3,5,6,4,4,3,3,3,0,3,2.25,3,4.375,4.57142857142857,3.85714285714286
Bias,Sarah,Frans Lab,7,2,4,7,6,2,4,1,2,2,3,2,4,3,7,4,3,3,5,2,3,4,2,2,2,7,5,3,2,4,7,6,3,2,2,6,4,2,6,4,1,5,3,4,3,5,2,5,6,3,3,5,1,4,0,3,2.0625,3,2.75,4.71428571428571,5.14285714285714
Bias,Tara,Frans Lab,7,7,7,7,7,7,7,7,2,2,3,2,5,3,7,4,2,2,6,3,2,4,2,1,1,5,4,5,4,3,7,4,4,2,5,6,4,5,5,4,1,4,2,4,2,4,2,5,6,4,3,3,4,2,0,3,2.125,3.5,3.625,3.71428571428571,4
Drella,Kate Talbot,GSU,2,6,5,2,5,1,6,2,5,4,5,2,6,4,2,4,5,1,4,5,4,5,5,4,4,4,5,4,3,5,2,4,3,3,2,4,4,2,4,4,4,5,5,2,5,2,2,5,2,2,1,2,4,5,0,4,4.6875,4.91666666666667,4,6,5.71428571428571
Drella,Aparrish,GSU,5,6,4.31472081218274,6,3,3,3,2.98481012658228,3.92768079800499,3.75318066157761,5,3.13636363636364,4,5,5,3.75066312997347,3,3,3.57960199004975,3,4,3.73643410852713,4,5,2,2,4.22332506203474,4,3.63197969543147,2,2,3.84478371501272,2,4,3.31770833333333,4,4.33842239185751,2,5,4.15544041450777,3.17005076142132,3,3.30478589420655,3.55208333333333,3,3,4,3,4,3,2.97974683544304,3,3,4,18,4,4.13985144411853,3.41105735335589,4.21226380732347,4.46047500886211,4.35059554473836
Drella,Daniel Rice,GSU,5,5,6,5,3,4,5,3,6,5,6,2,5,3,4,4,4,3.37990196078431,5,4,4,5,5,5,5,4,4,3,4,5,4,5,4,4,5,5,5,3,5,4,4,4,6,4,4,4,4,4,2,4,3,5,4,5,1,4,4.1875,4.25,3.5,4.66001400560224,4.42857142857143
