Subject,DOB,Sex
Achille,10/03/2000,m
Annibal, 14/11/2010,m
Arjuna,03/11/2010,m
Bancea,07/09/2011,f
Calypso,25/07/2012,f
Charles,23/06/2002,m
Circe,29/03/2012,f
Coco,16/01/2002,f
Conan,02/10/2011,m
Couscous,16/07/2008,m
Cyrano,25/11/2012,m
Dany,18/06/2003,f
Dattero,19/08/2008,m
Donald, 23/07/2003,m
Evalyne,06/12/2012,f
Eve,02/09/2004,f
Fleur,01/06/2005,f
Gaetan,01/03/1996,m
Grant, 12/10/2006,m
Greg,23/08/1994,m
Guazza,29/05/2008,f
Guenda,27/09/2010,f
Guilaine,13/05/1995,f
Gumena,27/09/2010,f
Jeanne,01/12/1995,f
Lady,01/10/1997,f
Nabou,22/11/1999,m
Natchez, 07-09-1999,m
Nereis,01/01/1999,f
Nicandro,31/10/2010,m
Nicodemo,25/12/2011,m
Nimbo,07/06/2007,m
Nina,21/01/1999,f
Ninfa,26/08/2005,f
Olga,01/08/2000,f
Pallas,27/05/2001,f
Palmira,30/10/2006,f
Palos,17/08/2005,m
Panuk,07/12/2012,m
Papaya,22/01/2008,f
Parsifal,08/04/2010,m
Paskou,25/09/2011,m
Platon,20/12/2001,m
Patsy,01/08/2001,f
Rimbaud,08/09/2002,m
Shan,01/09/2003,m
Sherlock,15/05/2003,m
Sibylle,01/05/2003,f
Simbad,13/07/2003,m
Sophie,15/06/2003,f
Soqquadro,20/03/2008,m
Soske, 12-12-2011,m
Sostrato,21/12/2009,m
Sybille,04/05/2003,f
Tanya,17/10/2004,f
Thethys,01/05/2004,f
Uttar,07/04/2005,m
