Name,Sex,GAIN ID,DOB,Field ,Father,Mother,Subspecies
Ayumu,M,608,4/24/00,PRI,Akira,Ai,verus
Pal,F,611,08/09/2000,PRI,Akira,Pan,verus
Shino,F,519,11/15/94,JMC,Akira2,Fujiko,verus
James,M,499,05/09/1993,Sanwa,Black,Miki,verus
Kanao,M,375,6/13/90,Sanwa,Black,Kanae,verus
Kazumi,F,287,12/19/86,Sanwa,Black,Kumiko,verus
Ken,M,199,2/17/83,Sanwa,Black,Hitomi,verus
Minato,M,468,02/05/1992,Sanwa,Black,Mina,verus
Minoru,M,236,17/09/1984,China,Black,Myko,verus
Miyuki,F,234,06/21/1984,Akita,Black,Yuki,verus
Yoko,F,329,01/03/1989,Sanwa,Black,Aki,verus
Yoshizu,F,381,8/29/90,Sanwa,Black,Yoshiko,verus
Pansy,F,586 Panzee,8/20/98,Fukuoka Zoo,Bon,Sakura2,hybrid
Ryu,M,561,2/20/97,Higashiyama Zoo,Charlie,Mally,verus
Mizuki,F,559,12/16/96,GARI,Chic,Hanako,verus
Nana,F,583,7/24/98,Asa Zoo,Fred,Naoko,verus
Arare,F,398,3/18/91,Sanwa,Genki,Yuki,verus
Mizuo,M,351,11/02/1989,Sanwa,Genki,Hanako,verus
Misaki,F,593,1/14/99,GARI,Go,Miyuki,verus
Pan,F,440,12/07/1983,PRI,Gon,Puchi,verus
Popo,F,438,03/07/1982,PRI,Gon,Puchi,verus
Reo,M,439,5/18/82,PRI,Gon,Reiko,verus
Aruku,M,358,12/07/1989,Sanwa,Hajime,Ran,verus
Takashi,M,316,4/30/88,Sanwa,Hajime,Nozomi,verus
Elisa,F,222,09/01/1976,Maruyama,Ishimatsu,Lyza,verus
Chic,M,322,09/04/1988,China,Izo,Roman,verus
Inko,F,326,11/23/88,Sanwa,Izo,Ohmu,verus
Coco,F,248,05/13/1985,Akita,Joe,Peko,hybrid
Bero,F,35 Belo,3/13/69,Tama Zoo,Joe,Betty,verus
Charlie,M,104,02/05/1978,Higashiyama Zoo,Joe,Journey,verus
Jane,F,29,06/30/1967,Akita,Joe,Journey,verus
Lucky2,M,330,01/05/1989,Tama Zoo,Joe,Journey,verus
Nana2,F,197,01/11/1983,Tama Zoo,Joe,Journey,verus
Tonny,M,136,10/12/1979,Maruyama,Joe,Jane,verus
Reina,F,579 Lena,03/06/1998,Ikeda Zoo,Kamui,Peach,hybrid
Koyuki,F,498,4/30/93,Sanwa,Ken,Yuki,verus
Momoko,F,493,3/14/93,Tama Zoo,Ken,Hanako,verus
Kamui,M,328,12/04/1988,Nihondaira,Kenchi,Gacha,hybrid
Kenta,M,168,12/15/80,Tama Zoo,Kenchi,Pepe,hybrid
Pendesa,F,95 Pendensa,02/02/1977,PRI,Kenchi,Sumire,hybrid
Kazuma,M,608,7/21/99,Sanwa,Kenji,Kazumi,verus
Tsubaki,F,551,2/17/96,GARI,Kenji,Kazumi,verus
Cherry,F,367,03/05/1990,Tama Zoo,Kenta,Pine,hybrid
Chiko2,,518 chico,06/12/1994,Tama Zoo,Kenta,Peko,hybrid
Kako,F,533 Kaco,5/18/95,Tama Zoo,Kenta,Coco,hybrid
Kota,M,357  Cohta,11/27/89,Kouchi Zoo,Kenta,Peko,hybrid
Tom,M,557,8/26/96,Ikeda Zoo,Kenta,Pine,hybrid
Yamato,M,596,06/02/1999,Kouchi Zoo,Kota,Mimi,hybrid
Nono,F,479,5/25/92,Sanwa,Lennon,Niko,verus
Norihei,M,297,04/05/1987,Sanwa,Lennon,Miki,verus
Yoshie,F,348,8/15/89,Sanwa,Lennon,Yoshiko,verus
