stud,name,sex,bdate,,,,,,,
4001,FIFI,0,01/01/1948,01/01/1948,#VALUE!,/0,,,,01/01/1948
4002,SUSIE,0,01/01/1948,01/01/1948,,,,,,01/01/1948
4004,BESSIE,0,01/01/1950,01/01/1950,,,,,,01/01/1950
4005,LULU,0,01/01/1951,01/01/1951,,,,,,01/01/1951
4008,SPITTER,0,01/07/1960,07/01/1960,,,,,,01/07/1960
4009,CHIKI,0,16/07/1960,#VALUE!,,,,,,16/07/1960
4015,SACHA,0,11/06/1980,06/11/1980,,,,,,11/06/1980
4018,LISA,0,23/08/1979,#VALUE!,,,,,,23/08/1979
4019,MELISSA,0,30/01/1978,#VALUE!,,,,,,30/01/1978
4020,FICHA,0,29/04/1981,#VALUE!,,04,01,1981,,29/04/1981
4021,SHIBA,0,22/05/1981,#VALUE!,,,,,,22/05/1981
4026,LEWIS,1,08/12/1986,12/08/1986,,,,,,08/12/1986
4027,MONTE,1,31/10/1985,#VALUE!,,,,,,31/10/1985
4028,SHONA,0,09/10/1987,10/09/1987,,,,,,09/10/1987
4029,GOMBE,1,25/12/1988,#VALUE!,,,,,,25/12/1988
4030,LOBO,1,26/06/1989,#VALUE!,,,,,,26/06/1989
4032,KUMA,0,06/12/1991,12/06/1991,,,,,,06/12/1991
4034,KIKE,0,11/04/1991,04/11/1991,,,,,,11/04/1991
4035,CHUNGA,0,13/03/1991,#VALUE!,,,,,,13/03/1991
4036,LUBUTU,1,06/05/1993,05/06/1993,,,,,,06/05/1993
4037,MALI,1,06/02/1991,02/06/1991,,,,,,06/02/1991
4040,SNOWY,1,07/01/1982,01/07/1982,,,,,,07/01/1982
4041,KOKO,0,06/05/1974,05/06/1974,,,,,,06/05/1974
4042,SANDRA,0,28/02/1972,#VALUE!,,,,,,28/02/1972
4043,SHABANI,1,14/09/1994,#VALUE!,,,,,,14/09/1994
