Subject,ID,,Colony,DOB,Date of Death/Removal,Reason for Removal,,,Date of Last Update,Status
Abby,C0726,,Yerkes,11/05/1995,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Ada,C0320,,Yerkes,01/01/1955,27/06/1994,Death,,,27/06/1994,Death
Agatha,C0700,,Yerkes,21/01/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Alice,C0358,,Yerkes,01/01/1961,14/10/1999,Death,,,14/10/1999,Death
Alicia,C0646,,Yerkes,26/06/1989,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,18/03/2011,Alive
Amanda,C0684,,Yerkes,15/06/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Amos,C0495,,Yerkes,19/11/1981,16/07/2010,Death,,,16/07/2010,Death
Angela,C0436,,Yerkes,17/09/1971,07/03/1997,Death,,,07/03/1997,Death
Anja,C0554,,Yerkes,09/01/1980,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Anna,C0408,,Yerkes,01/01/1955,27/04/2000,Death,,,27/04/2000,Death
Artemus,C0599,,Yerkes,18/12/1990,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Arthur,C0601,,Yerkes,21/05/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Artifact,C0451,,Yerkes,21/06/1979,07/05/1998,Death,,,07/05/1998,Death
Artifee,C0520,,Yerkes,24/07/1976,15/09/2004,Death,,,15/09/2004,Death
Atlanta,C0342,,Yerkes,10/08/1965,21/12/2000,Death,,,21/12/2000,Death
Augusta,C0510,,Yerkes,01/08/1975,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive
Austin,,,Yerkes,10/07/1974,22/09/1992,Removal to GSU,Died 1/17/2002,,17/01/2002,Death
Azalea,c0746,,Yerkes,07/03/1997,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Barbara,C0462,,Yerkes,16/12/1972,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Barbi,C0518,,Yerkes,14/06/1976,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Barney,c0575,,Yerkes,06/05/1989,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive
Beleka,C0380,,Yerkes,01/01/1962,20/03/2006,Death,,,20/03/2006,Death
Bertha,C0530,,Yerkes,05/03/1977,15/07/1997,Death,,,15/07/1997,Death
Bjorn,C0563,,Yerkes,16/07/1988,01/05/2007,Death,,,01/05/2007,Death
Bo,C0490,,Yerkes,01/01/1969,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Boisfeul,C0369,,Yerkes,14/12/1971,15/12/2003,Death,,,15/12/2003,Death
Boka,C0200,,Yerkes,11/11/1959,29/01/2007,Death,,,29/01/2007,Death
Borie,C0454,,Yerkes,01/01/1964,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Brandy,C0592,,Yerkes,26/04/1985,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Brent,C0415,,Yerkes,20/01/1976,16/05/2006,Removal to Chimp Haven,Alive as of 3/18/2011,,16/05/2006,Alive
Brian,C0449,,Yerkes,31/03/1979,14/10/1998,Removed to Morelia Zoo,Status Unknown,,14/10/1998,LTF
Brooks,C0619,,Yerkes,10/11/1992,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Buffy,C0578,,Yerkes,02/01/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
