Brooks,Brodie,,,,0,,,chimp,DoB,status,lastDate,last1000ChimpsRecord
Cissie,Chip,,,,0,,,Brodie,10/01/1984,alive,, 
Cynthia,Columbus,,,,0,,,Chip,30/03/1989,alive,,
Donald,Debbie,,,,0,,,Columbus,10/10/1977,dead,?,
Elvira,Drew,,,,0,,,Debbie,20/01/1989,alive,,
Ericka,Duncan,,,,0,,,Drew,06/03/1993,alive,,
Jesse,Janice,,,,0,,,Duncan,16/09/1967,death,?,25/06/2015
Katrina,Jorg,,,,0,,,Janice,01/12/1990,death,02/09/2013,
Kevin,Josh,,,,0,,,Jorg,01/02/1967,death,?,
Lindsey,Kerri,,,,0,,,Josh,27/08/1990,death,18/12/2012,
Lizzie,Kipper,,,,0,,,Kerri,02/01/1995,death,,
Panzee,Maverick,,,,0,,,Kipper,01/10/1979,death,?,
Polyanna,Merlin,,,,0,,,Maverick,26/09/1993,alive,,
Sabrina,Pericles,,,,0,,,Merlin,02/02/1993,alive,30/03/2016,
Shirley,Reid,,,,0,,,Pericles,03/08/2001,alive,,
Sonia,Rita,,,,0,,,Reid,05/06/1993,death,09/05/2012,
Sylvia,Rufus,,,,0,,,Rita,23/09/1987,alive,,
Travis,Sara,,,,0,,,Rufus,20/01/1981,death,18/09/2015,
,Steward,,,,0,,,Sara,16/05/1979,death,?,25/06/2015
,Virginia,,,,0,,,Steward,08/09/1993,alive,,
,Zana,,,,0,,,Virginia,18/04/1991,alive,,
,Zeb,,,,0,,,Zana,18/06/1990,alive,,
Abby,Abby,,,,1,,,Zeb,,the most useless chimp,,
Ada,Ada,,,,1,,,,,,,
Agatha,Agatha,,,,1,,,,,,,
Alice,Alice,,,,1,,,,,,,
Alicia,Alicia,,,,1,,,,,,,
Amanda,Amanda,,,,1,,,,,,,
Amos,Amos,,,,1,,,,,,,
Angela,Angela,,,,1,,,,,,,
Anja,Anja,,,,1,,,,,,,
Anna,Anna,,,,1,,,,,,,
Artemus,Artemus,,,,1,,,,,,,
Arthur,Arthur,,,,1,,,,,,,
Artifact,Artifact,,,,1,,,,,,,
Artifee,Artifee,,,,1,,,,,,,
Atlanta,Atlanta,,,,1,,,,,,,
Augusta,Augusta,,,,1,,,,,,,
Austin,Austin,,,,1,,,,,,,
Azalea,Azalea,,,,1,,,,,,,
Barbara,Barbara,,,,1,,,,,,,
Barbi,Barbi,,,,1,,,,,,,
Barney,Barney,,,,1,,,,,,,
Beleka,Beleka,,,,1,,,,,,,
Bertha,Bertha,,,,1,,,,,,,
Bjorn,Bjorn,,,,1,,,,,,,
Bo,Bo,,,,1,,,,,,,
Boisfeullet,Boisfeullet,,,,1,,,,,,,
Boka,Boka,,,,1,,,,,,,
Borie,Borie,,,,1,,,,,,,
Brandy,Brandy,,,,1,,,,,,,
Brent,Brent,,,,1,,,,,,,
Brian,Brian,,,,1,,,,,,,
Buffy,Brooks,,,,1,,,,,,,
Callie,Buffy,,,,1,,,,,,,
Carl,Callie,,,,1,,,,,,,
Carmichael,Carl,,,,1,,,,,,,
Cathy,Carmichael,,,,1,,,,,,,
Cheeta,Cathy,,,,1,,,,,,,
Cheri,Cheeta,,,,1,,,,,,,
Christa,Cheri,,,,1,,,,,,,
Claus,Christa,,,,1,,,,,,,
Clint,Cissie,,,,1,,,,,,,
Colombus,Claus,,,,1,,,,,,,
Conan,Clint,,,,1,,,,,,,
Daisey,Conan,,,,1,,,,,,,
Dara,Cynthia,,,,1,,,,,,,
David,Daisey,,,,1,,,,,,,
Dobbs,Dara,,,,1,,,,,,,
Dona,David,,,,1,,,,,,,
Dover,Dobbs,,,,1,,,,,,,
Duff,Dona,,,,1,,,,,,,
Edwina,Donald,,,,1,,,,,,,
Ellie,Dover,,,,1,,,,,,,
Elwood,Duff,,,,1,,,,,,,
Evelyne,Edwina,,,,1,,,,,,,
Faye,Ellie,,,,1,,,,,,,
Fiona,Elvira,,,,1,,,,,,,
Flora,Elwood,,,,1,,,,,,,
Foxy,Ericka,,,,1,,,,,,,
Francisca,Evelyne,,,,1,,,,,,,
Frannie,Faye,,,,1,,,,,,,
Fritz,Fiona,,,,1,,,,,,,
Garbo,Flora,,,,1,,,,,,,
Gay,Foxy,,,,1,,,,,,,
Gelb,Francisca,,,,1,,,,,,,
Georgia,Frannie,,,,1,,,,,,,
Grayson,Fritz,,,,1,,,,,,,
Gwennie,Garbo,,,,1,,,,,,,
Heppie,Gay,,,,1,,,,,,,
Hoboh,Gelb,,,,1,,,,,,,
Hunter,Georgia,,,,1,,,,,,,
Iyk,Grayson,,,,1,,,,,,,
Jacqueline,Gwennie,,,,1,,,,,,,
Jaimie,Heppie,,,,1,,,,,,,
Jarred,Hoboh,,,,1,,,,,,,
Jeanie,Hunter,,,,1,,,,,,,
Jenda,Iyk,,,,1,,,,,,,
Jennifere,Jacqueline,,,,1,,,,,,,
Jenny,Jaimie,,,,1,,,,,,,
Jewelle,Jarred,,,,1,,,,,,,
Jimmy Carter,Jeanie,,,,1,,,,,,,
Jimoh,Jenda,,,,1,,,,,,,
Jolson,Jennifere,,,,1,,,,,,,
Joseph,Jenny,,,,1,,,,,,,
Juan,Jesse,,,,1,,,,,,,
Julianne,Jewelle,,,,1,,,,,,,
Julie,Jimmy Carter,,,,1,,,,,,,
Justin,Jimoh,,,,1,,,,,,,
Kasey,Jolson,,,,1,,,,,,,
Kengee,Joseph,,,,1,,,,,,,
Lamar,Juan,,,,1,,,,,,,
Lana,Julianne,,,,1,,,,,,,
Lee,Julie,,,,1,,,,,,,
Lena,Justin,,,,1,,,,,,,
Les,Kasey,,,,1,,,,,,,
Leslie,Katrina,,,,1,,,,,,,
Lil'One,Kengee,,,,1,,,,,,,
Liza,Kevin,,,,1,,,,,,,
Lolita,Lamar,,,,1,,,,,,,
Lucas,Lana,,,,1,,,,,,,
Lucy,Lee,,,,1,,,,,,,
Lulu,Lena,,,,1,,,,,,,
Luther,Les,,,,1,,,,,,,
Lux,Leslie,,,,1,,,,,,,
Lyons,Lil'One,,,,1,,,,,,,
Magnum,Lindsey,,,,1,,,,,,,
Mai,Liza,,,,1,,,,,,,
Marietta,Lizzie,,,,1,,,,,,,
Marilyne,Lolita,,,,1,,,,,,,
Martha,Lucas,,,,1,,,,,,,
Mary,Lucy,,,,1,,,,,,,
Mason,Lulu,,,,1,,,,,,,
Maxine,Luther,,,,1,,,,,,,
Mega,Lux,,,,1,,,,,,,
Melinda,Lyons,,,,1,,,,,,,
Melissa,Magnum,,,,1,,,,,,,
Merv,Mai,,,,1,,,,,,,
Missy,Marietta,,,,1,,,,,,,
Morgan,Marilyne,,,,1,,,,,,,
Mortimer,Martha,,,,1,,,,,,,
Natasha,Mary,,,,1,,,,,,,
Ossabaw,Mason,,,,1,,,,,,,
Patrick,Maxine,,,,1,,,,,,,
Peony,Mega,,,,1,,,,,,,
Phillip,Melinda,,,,1,,,,,,,
Phineas,Melissa,,,,1,,,,,,,
Puddin,Merv,,,,1,,,,,,,
Ranette,Missy,,,,1,,,,,,,
Reba,Morgan,,,,1,,,,,,,
Rebecca,Mortimer,,,,1,,,,,,,
