chimp,ID,rearing,sex,DoB,status,lastDate
Abby,726,1,0,05/11/1995,Death,18/02/2016
Ada,NA,3,0,01/01/1955,Death,27/06/1994
Agatha,700,1,0,1/21/1993,Alive,09/02/2016
Alice,358,1,0,01/01/1961,Death,14/10/1999
Alicia,646,1,0,6/26/1989,Death,06/04/2006
Amanda,684,2,0,6/15/1991,Alive,22/03/2016
Amos,495,1,1,11/19/1981,Death,16/07/2010
Angela,NA,2,0,9/17/1971,Death,07/03/1997
Anja,554,1,0,01/09/1980,Death,04/02/2015
Anna,408,1,0,01/01/1955,Death,27/04/2000
Artemus,599,2,1,12/18/1990,Alive,22/03/2016
Arthur,601,2,1,5/21/1991,Alive,09/02/2016
Artifact,NA,2,1,6/21/1979,Death,07/05/1998
Artifee,520,2,0,7/24/1976,Death,15/09/2004
Atlanta,342,2,0,08/10/1965,Death,21/12/2000
Augusta,510,2,0,08/01/1975,Death,30/11/2007
Austin,NA,2,1,07/10/1974,Death,17/01/2002
Azalea,NA,1,0,03/07/1997,Alive,09/02/2016
Barbara,462,1,0,12/16/1972,Death,27/02/2015
Barbi,518,1,0,6/14/1976,Alive,09/02/2016
Barney,575,3,1,05/06/1989,Alive,30/03/2016
Beleka,380,1,0,01/01/1962,Death,20/03/2006
Bertha,NA,2,0,03/05/1977,Death,15/07/1997
Bjorn,563,1,1,7/16/1988,Death,01/05/2007
Bo,490,1,0,01/01/1969,Alive,09/02/2016
Boisfeullet,369,2,1,12/14/1971,Death,15/12/2003
Boka,200,1,0,11/11/1959,Death,29/01/2007
Borie,454,1,0,01/01/1964,Death,12/08/2014
Brandy,592,1,0,4/26/1985,Alive,22/03/2016
Brent,415,2,1,1/20/1976,Death,10/03/2014
Brian,NA,1,1,3/31/1979,LTF,14/10/1998
Brodie,580,2,1,01/10/1984,Alive,09/02/2016
Brooks,619,2,1,11/10/1992,Alive,30/03/2016
Buffy,578,1,0,01/02/1984,Death,08/12/2006
Callie,676,2,0,2/18/1991,Death,18/02/2014
Carl,527,2,1,5/21/1986,Alive,09/02/2016
Carmichael,503,1,1,3/21/1983,Death,29/09/2010
Cathy,652,1,0,10/05/1989,Alive,09/02/2016
Cheeta,438,1,0,01/01/1957,Death,04/01/2012
Cheri,NA,3,0,01/01/1955,Death,02/12/1995
Chip,567,2,1,03/30/1989,Alive,09/02/2016
