Alicia,C0646,,Yerkes,26/06/1989,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,18/03/2011,Alive,,
Augusta,C0510,,Yerkes,01/08/1975,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive,,
Barney,c0575,,Yerkes,06/05/1989,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive,,
Brent,C0415,,Yerkes,20/01/1976,16/05/2006,Removal to Chimp Haven,Alive as of 3/18/2011,,16/05/2006,Alive,,
Brian,C0449,,Yerkes,31/03/1979,14/10/1998,Removed to Morelia Zoo,Status Unknown,,14/10/1998,LTF,,
Brooks,C0619,,Yerkes,10/11/1992,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Buffy,C0578,,Yerkes,02/01/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Claus,C0621,,Yerkes,25/12/1992,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive,,
Conan,C0521,,Yerkes,03/01/1986,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive,,
Donald,C0551,,Yerkes,15/10/1987,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Garbo,C0168,,Yerkes,10/12/1953,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive,,
Gay,C046A,,Yerkes,01/01/1967,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive,,W
Grayson,c0655,,Yerkes,22/05/1997,01/11/2004,Removal to New Iberia,,,01/11/2004,LTF,,
Hunter,C0511,,Yerkes,03/08/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Jimoh,C0381,,Yerkes,01/01/1964,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive,,W
Juan,c0299,,Yerkes,23/02/1968,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive,,
Kasey,C0598,,Yerkes,13/05/1986,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive,,
Kevin,C0595,,Yerkes,08/07/1990,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Les,C0407,,Yerkes,08/09/1975,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive,,
Lindsey,C0710,,Yerkes,10/02/1994,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive,,
Magnum,C0581,,Yerkes,08/07/1989,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive,,
Mason,C0515,,Yerkes,18/09/1984,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive,,
Mega,C0586,,Yerkes,27/11/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Merv,C0413,,Yerkes,06/01/1976,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive,,
Morgan,c0651,,Yerkes,11/04/1996,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive,,
Ronald,C0557,,Yerkes,04/05/1988,01/11/2004,Removal to New Iberia,,,01/11/2004,LTF,,
Rosemary,C0712,,Yerkes,11/02/1994,01/11/2004,Removal to New Iberia,,,01/11/2004,LTF,,
Sam,C0501,,Yerkes,19/05/1982,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive,,
Sean,C0609,,Yerkes,16/03/1992,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive,,
Sheena,,,Yerkes,20/01/1989,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive,,
Sheila,,,Yerkes,19/03/1972,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive,,
Suzanna,C0514,,Yerkes,25/02/1976,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive,,
Tank,C0525,,Yerkes,18/02/1986,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive,,
Wilson,c0647,,Yerkes,09/03/1994,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive,,
Amanda,C0684,15/06/1991,,ALIVE/ TRANSFERRED,,CHATTANOOGA ZOO,,,18/03/2011,Alive,,
Brandy,C0592,26/04/1985,,ALIVE/TRANSFERRED,,CHATTANOOGA ZOO,,,18/03/2011,Alive,,
Artemus,C0599,18/12/1990,,ALIVE/TRANSFERRED,,CHATTANOOGA ZOO,,,27/04/2000,Death,,
Debbie,C0638,,,UNKNOWN/TRANSFERRED,,NEW IBERIA,,,22/02/2005,Alive,,
Janice,C0654,,,UNKNOWN/TRANSFERRED,,NEW IBERIA,,,21/04/2005,Alive,,
Joseph,C0475,25/11/1980,,ALIVE/TRANSFERRED,,"CHIMP HAVEN, SHREVEPORT, LA.",,,18/03/2011,Alive,,
Josh,C0597,,,UNKNOWN/TRANSFERRED,,NEW IBERIA,,,12/02/2010,Death,,
Katrina,C0604,26/07/1987,,ALIVE/TRANSFERRED,,CHATTANOOGA ZOO,,,10/02/1998,Death,,
Maverick,C0643,,,UNKNOWN/TRANSFERRED,,NEW IBERIA,,,18/03/2011,Alive,,
Merlin,C0627,,,UNKNOWN/TRANSFERRED,,SOUTHWEST,,,01/11/2004,Alive,,
Ranette,C0610,17/12/1987,,ALIVE/TRANSFERRED,,CHATTANOOGA ZOO,,,23/10/2000,Death,,
Reid,C0637,,,UNKNOWN/TRANSFERRED,,SOUTHWEST,,,17/05/2005,Alive,,
Rufus,C0479,,,UNKNOWN/TRANSFERRED,,SOUTHWEST,,,06/04/2005,Alive,,
Scott,C0545,23/06/1987,,ALIVE/TRANSFERRED,,CHATTANOOGA ZOO,,,23/02/2004,Death,,
Shirley,C0588,11/01/1985,,ALIVE/TRANSFERRED,,CHATTANOOGA ZOO,,,09/02/2014,Death,,
Zana,C0664,,,UNKNOWN/TRANSFERRED,,NEW IBERIA,,,18/03/2011,Alive,,
