Subject,"Vitality status (Deceased, Alive, Unknown)"
Abby,ALIVE
Ada,DECEASED 
Agatha,ALIVE
Alice,DECEASED
Amanda,ALIVE/ TRANSFERRED
Amos,DECEASED
Angela,DECEASED
Anja,DECEASED
Anna,DECEASED
Artemus,ALIVE/TRANSFERRED
Arthur,ALIVE
Artifact,DECEASED
Artifee,DECEASED
Atlanta,DECEASED
Azalea,ALIVE
Barbara,DECEASED
Barbi,ALIVE
Beleka,DECEASED
Bertha,DECEASED
Bjorn,DECEASED
Bo,ALIVE
Boisfeullet,DECEASED
Boka,DECEASED
Borie,DECEASED
Brandy,ALIVE/TRANSFERRED
Brodie,ALIVE
Callie,DECEASED
Carl,ALIVE
Carmichael,DECEASED
Cathy,ALIVE
Cheeta,DECEASED
Cheri,DECEASED
Chip,ALIVE
Christa,ALIVE
Cissie,ALIVE
Clint,DECEASED
Columbus,DECEASED
Cynthia,DECEASED
Daisey,ALIVE
Dara,ALIVE
David,ALIVE
Debbie,UNKNOWN/TRANSFERRED
Dobbs,DECEASED
Dona,ALIVE
Dover,DECEASED
Drew,ALIVE
Duff,DECEASED
Duncan,DECEASED
Edwina,DECEASED
Elvira,ALIVE
Elwood,DECEASED
Ericka,ALIVE
Evelyne,ALIVE
Faye,AIVE
Fiona,ALIVE
Flora,DECEASED
Foxy,ALIVE
Francisca,DECEASED
Frannie,ALIVE
Fritz,ALIVE
Gelb,ALIVE
Georgia,ALIVE
Heppie,DECEASED
Hoboh,DECEASED
Iyk,DECEASED
Jacqueline,ALIVE
Jaimie,ALIVE
Janice,UNKNOWN/TRANSFERRED
Jarred,DECEASED
Jeanie,DECEASED
Jenda,DECEASED
Jenifere,DECEASED
Jenny,DECEASED
Jesse,DECEASED
Jewelle,ALIVE
Jimmy Carter,DECEASED
Jolson,DECEASED
Jorg,DECEASED
Joseph,ALIVE/TRANSFERRED
Josh,UNKNOWN/TRANSFERRED
Julianne,ALIVE
Julie,ALIVE
Justin,DECEASED
Katrina,ALIVE/TRANSFERRED
Kengee,DECEASED
Kerri,DECEASED
Kipper,DECEASED
Lamar,DECEASED
Lee,DECEASED
Lena,DECEASED
Leslie,ALIVE
Lil'One,ALIVE
Liza,ALIVE
Lucas,ALIVE
Lucy,DECEASED
Lulu,DECEASED
Luther,ALIVE
Lux,DECEASED
Mai,DECEASED
Marietta,DECEASED
Marilyne,DECEASED
Martha,ALIVE
Mary,DECEASED
Maverick,UNKNOWN/TRANSFERRED
Maxine,DECEASED
Melinda,DECEASED
Melissa,DECEASED
Merlin,UNKNOWN/TRANSFERRED
Missy,ALIVE
Mortimer,DECEASED
Natasha,DECEASED
Ossabaw,DECEASED
Patrick,ALIVE
Peony,DECEASED
Pericles,ALIVE
Phillip,DECEASED
Phineas,DECEASED
Polyanna,DECEASED
Ranette,ALIVE/TRANSFERRED
Reba,DECEASED
Rebecca,ALIVE
Reid,UNKNOWN/TRANSFERRED
Rhett,DECEASED
Rita,ALIVE
Rogger,DECEASED
Rowena,ALIVE
Rufus,UNKNOWN/TRANSFERRED
Sabrina,ALIVE
Samantha,ALIVE
Sara,DECEASED
Scott,ALIVE/TRANSFERRED
Sellers,DECEASED
Shirley,ALIVE/TRANSFERRED
Socrates,DECEASED
Sonia,DECEASED
Sparkle,DECEASED
Steward,ALIVE
Storer,DECEASED
Suwanee,ALIVE
Sylvia,ALIVE
Tai,ALIVE
Tara,ALIVE
Travis,ALIVE
Virginia,ALIVE
Vivienne,ALIVE
Waga,DECEASED
Walnut,DECEASED
Wenka,ALIVE
Wilma,DECEASED
Winston,ALIVE
Zana,UNKNOWN/TRANSFERRED
