Subject,ID,,,DOB,Date of Removal,Transfer location,,,,,,,,,,,,,
Alicia,C0646,,,26/06/1989,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Augusta,C0510,,,01/08/1975,06/04/2005,Removal to Chimp Haven,,,died 11/30/2007,,,,,,,,,,
Barney,c0575,,,06/05/1989,22/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Brent,C0415,,,20/01/1976,16/05/2006,Removal to Chimp Haven,,,died 3/10/2014,,,,,,,,,,
Brian,C0449,,,31/03/1979,14/10/1998,Removed to Morelia Zoo,,,,,,,,,,,,,
Brooks,C0619,,,10/11/1992,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Buffy,C0578,,,02/01/1984,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Claus,C0621,,,25/12/1992,22/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Conan,C0521,,,03/01/1986,06/04/2005,Removal to Chimp Haven,,,died 12/22/14,,,,,,,,,,
Donald,C0551,,,15/10/1987,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Garbo,C0168,,,10/12/1953,21/04/2005,Removal to Chimp Haven,,,died 11/15/15,,,,,,,,,,
Gay,C046A,,,01/01/1967,21/04/2005,Removal to Chimp Haven,,,died 8/17/11,,,,,,,,,,
Grayson,c0655,,,22/05/1997,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Hunter,C0511,,,03/08/1984,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Jimoh,C0381,,,01/01/1964,21/04/2005,Removal to Chimp Haven,,,died 3/22/14,,,,,,,,,,
Juan,c0299,,,23/02/1968,21/04/2005,Removal to Chimp Haven,,,living,,,,,,,,,,
Kasey,C0598,,,13/05/1986,01/11/2004,Removal to New Iberia,,,,"*** I have record of a Kasey from NIRC (dob 2/17/88), moved to CH (4/18/06), still living",,,,,,,,,DMA- this almost certainly not the same Kasey
Kevin,C0595,,,08/07/1990,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Les,C0407,,,08/09/1975,17/05/2005,Removal to Chimp Haven,,,died 2/26/15,,,,,,,,,,
Lindsey,C0710,,,10/02/1994,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Magnum,C0581,,,08/07/1989,17/05/2005,Removal to Chimp Haven,,,living,,,,,,,,,,
Mason,C0515,,,18/09/1984,17/05/2005,Removal to Chimp Haven,,,died 1/28/12,,,,,,,,,,
Mega,C0586,,,27/11/1984,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Merv,C0413,,,06/01/1976,06/04/2005,Removal to Chimp Haven,,,died 12/10/12,,,,,,,,,,
Morgan,c0651,,,11/04/1996,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Ronald,C0557,,,04/05/1988,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Rosemary,C0712,,,11/02/1994,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Sam,C0501,,,19/05/1982,08/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Sean,C0609,,,16/03/1992,22/02/2005,Removal to SW Foundation,,,,,,,,,,,,,
Sheena,,,,20/01/1989,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Sheila,,,,19/03/1972,17/05/2005,Removal to Chimp Haven,,,living,,,,,,,,,,
Suzanna,C0514,,,25/02/1976,06/04/2005,Removal to Chimp Haven,,,living,,,,,,,,,,
Tank,C0525,,,18/02/1986,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Wilson,c0647,,,09/03/1994,01/11/2004,Removal to New Iberia,,,,,,,,,,,,,
Amanda,C0684,,,15/06/1991,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Brandy,C0592,,,26/04/1985,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Artemus,C0599,,,18/12/1990,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Debbie,C0638,,,,unknown,Removal to New Iberia,,,,"***I have record of a Little Debbie (Dob est 1968), moved to CH from NIRC (1/2/13), died 8/15/14",,,,,,,,,
Janice,C0654,,,,unknown,Removal to New Iberia,,,,,,,,,,,,,
Joseph,C0475,,,25/11/1980,unknown,Removal to Chimp Haven,,,living,,,,,,,,,,
Josh,C0597,,,,unknown,Removal to New Iberia,,,,,,,,,,,,,
Katrina,C0604,,,26/07/1987,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Maverick,C0643,,,,unknown,Removal to New Iberia,,,,,,,,,,,,,
Merlin,C0627,,,,unknown,Removal to SW Foundation,,,,,,,,,,,,,
Ranette,C0610,,,17/12/1987,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Reid,C0637,,,,unknown,Removal to SW Foundation,,,,,,,,,,,,,
Rufus,C0479,,,,unknown,Removal to SW Foundation,,,,,,,,,,,,,
Scott,C0545,,,23/06/1987,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Shirley,C0588,,,11/01/1985,unknown,Removal to Chattanooga Zoo,,,living,,,,,,,,,,
Zana,C0664,,,,unknown,Removal to New Iberia,,,,,,,,,,,,,
