"chimp","Group.1","sex","rearing","bdate","rdate","zoo","rater","ratersex","form","fear","dom","pers","caut","stbl","aut","stngy","jeals","reckl","soc","tim","symp","play","sol","actv","help","buly","aggr","manp","gntl","affc","exct","impl","inqs","subm","depd","irri","pred","decs","depr","sens","defn","intll","prot","invt","clmy","errc","frdy","lazy","dsor","unem","imit","indp","status","use","dummy","age_pr"
47,47,0,1,NA,NA,5,26.6666666666667,0.666666666666667,1.66666666666667,2.33333333333333,5.66666666666667,4.66666666666667,3.33333333333333,4.66666666666667,1.66666666666667,5.33333333333333,5.66666666666667,4.33333333333333,3.33333333333333,1.66666666666667,3.33333333333333,2.66666666666667,5.33333333333333,1.66666666666667,3.33333333333333,5.33333333333333,5.33333333333333,6,3.33333333333333,3.66666666666667,3.66666666666667,5,4.66666666666667,2,3,5.33333333333333,3.66666666666667,4.66666666666667,2.33333333333333,3.66666666666667,6,5.66666666666667,4.33333333333333,3.33333333333333,3,2.66666666666667,3.33333333333333,5.66666666666667,3,4,2.66666666666667,5.66666666666667,1,1,1,33.25667351
61,61,1,1,NA,NA,5,26.5,1,1.5,1.5,7,5,2.5,3.5,1.5,5,4.5,4,3.5,2,3,2,3.5,2.5,2.5,6.5,6,3,2,4,4.5,4.5,6,1,1.5,5,4.5,6,3,2.5,4.5,5.5,3.5,3.5,1,2.5,3,3.5,1.5,3.5,2.5,6,1,1,1,50.24503765
62,62,0,1,NA,NA,5,26.5,1,1.5,5.5,2,3.5,5.5,4,1.5,3.5,3.5,2,4.5,5.5,5,2.5,5.5,3,3.5,2,2,3.5,5.5,5,4.5,3,4,6.5,5.5,3,5,4.5,2.5,5,3.5,4,5,3.5,4,3,4.5,4,2,2.5,3.5,3.5,1,1,1,50.24503765
86,86,1,1,NA,NA,9,49.5,0.25,1.5,3.75,5.75,4.25,5.25,5,2.25,3.75,4.5,2.75,5.75,1.75,5,2.5,1.75,3.75,4.75,1.75,3.5,3.25,4.75,5.75,4.25,3.5,4,1.75,3.25,2.5,5.5,5.5,1.75,5.25,4.25,5,4.5,2.75,3,2.5,4.5,4.25,2.25,3.75,3.25,5.25,1,1,1,45.45379877
110,110,0,1,NA,NA,5,29,0.2,1.8,3,3.2,5.4,5.4,6.2,4.2,4.6,3.4,2.4,3,3,5,1.2,6.2,1.6,4.4,2.4,1.8,3.6,5,3.6,2.6,3.2,5,4.2,3.4,3,5.2,5.2,4.2,4.6,3,5.6,3.4,4.4,2.8,2.2,3.8,6.2,1.4,3.2,2.8,6.4,1,1,1,55.24161533
138,138,0,1,NA,NA,6,23,0,1.66666666666667,4.33333333333333,2,3.33333333333333,4.66666666666667,4.33333333333333,1.33333333333333,1.66666666666667,1.33333333333333,1.33333333333333,6.66666666666667,3.66666666666667,7,3.33333333333333,1.66666666666667,2,6.33333333333333,1.33333333333333,1,2,6.66666666666667,7,4,2.33333333333333,5,5.66666666666667,4.66666666666667,1.33333333333333,5.66666666666667,5.33333333333333,1,6.33333333333333,1.33333333333333,5.33333333333333,6.33333333333333,4,1.66666666666667,1.33333333333333,6.66666666666667,5,1,2.66666666666667,3,4,1,1,1,37.25941136
139,139,1,1,NA,NA,6,23,0,1,3.66666666666667,6,5.66666666666667,3.66666666666667,4,1,2.66666666666667,1.66666666666667,1,6.66666666666667,1.33333333333333,6,6,2,4,6,2.33333333333333,4,5.66666666666667,6,6.33333333333333,5,3.33333333333333,6.33333333333333,1.66666666666667,2.66666666666667,1.66666666666667,4,5.66666666666667,1,5,3.66666666666667,6.66666666666667,6.33333333333333,6.66666666666667,1.33333333333333,2,5.66666666666667,1.66666666666667,1,1.66666666666667,2.33333333333333,5.33333333333333,1,1,1,39.25530459
142,142,0,2,NA,NA,14,52.5,1,1.5,3.5,1.5,2.5,3.5,4.5,5.5,2.5,3,2,4,3.5,4.5,3.5,4.5,2.5,4.5,2,1.5,3,5,4,4,3.5,2.5,4,3,2.5,4.5,4.5,4.5,3.5,1.5,4,3.5,3,3.5,2.5,4.5,6,3,4.5,1,5,1,1,1,39.65229295
182,182,1,1,NA,NA,1,16,0.333333333333333,1.33333333333333,3,5.66666666666667,5.33333333333333,3,3.66666666666667,1.33333333333333,4.66666666666667,2.66666666666667,3.66666666666667,4.66666666666667,1.66666666666667,3.66666666666667,1.66666666666667,3.66666666666667,2,2.66666666666667,5.33333333333333,4,2.33333333333333,4.66666666666667,4,4.33333333333333,4.33333333333333,2.33333333333333,3,1.33333333333333,4.33333333333333,4.66666666666667,5.66666666666667,1.66666666666667,3.66666666666667,3,5,3.33333333333333,4.66666666666667,1.33333333333333,1.33333333333333,3.33333333333333,4.66666666666667,1.33333333333333,2.33333333333333,1,5.33333333333333,1,1,1,36.21902806
185,185,1,1,NA,NA,33,108,0,1,2.66666666666667,5,4.66666666666667,5,4.33333333333333,1.66666666666667,5.66666666666667,4.66666666666667,2.33333333333333,5.66666666666667,1.66666666666667,5,6,3,5.66666666666667,4.66666666666667,1.33333333333333,1,3.33333333333333,5.66666666666667,5.66666666666667,4.66666666666667,2,4.66666666666667,2.66666666666667,3.66666666666667,1.33333333333333,5.66666666666667,4.66666666666667,2,5,2.66666666666667,5.66666666666667,5,4.33333333333333,1.33333333333333,1.33333333333333,7,1,2.33333333333333,2.33333333333333,4,5,5,2,2,45.50308008
186,186,1,1,NA,NA,11,2,0,1.66666666666667,3,7,5,3.33333333333333,4,2.33333333333333,4,2.66666666666667,1.66666666666667,5.33333333333333,1,5.33333333333333,3.33333333333333,5.33333333333333,3.66666666666667,4.33333333333333,3.33333333333333,2.66666666666667,3.66666666666667,5.33333333333333,6,3.66666666666667,3.66666666666667,4.33333333333333,1,1,2.66666666666667,5.33333333333333,6.66666666666667,1,5.66666666666667,1,6.66666666666667,4.66666666666667,2.33333333333333,2.66666666666667,1.66666666666667,6,2.66666666666667,1.66666666666667,3.33333333333333,1,7,1,1,1,35.23887748
212,212,0,0,NA,NA,1,16,0.333333333333333,1.66666666666667,4.33333333333333,4.33333333333333,3,4,2.33333333333333,4.66666666666667,4,3.33333333333333,5.33333333333333,2.66666666666667,1.66666666666667,2.66666666666667,3.33333333333333,4,2.33333333333333,2.66666666666667,3.33333333333333,3.66666666666667,4,4.66666666666667,3.66666666666667,6,2.66666666666667,2,2,2.66666666666667,3.33333333333333,5,4.66666666666667,2,5.33333333333333,3,4,5,2,2,2.33333333333333,3.66666666666667,6,1.33333333333333,2.66666666666667,1.66666666666667,5.33333333333333,1,1,1,34.44490075
214,214,0,1,NA,NA,11,2,0,1.66666666666667,1.66666666666667,6.66666666666667,6,4.66666666666667,6.33333333333333,1,4.66666666666667,2.66666666666667,1.33333333333333,6,1,6.33333333333333,2.33333333333333,4.33333333333333,2.33333333333333,6,3.33333333333333,1.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3,2.33333333333333,7,3.33333333333333,1.66666666666667,1.33333333333333,6,6.33333333333333,1,6.66666666666667,2.66666666666667,7,6.66666666666667,7,1.33333333333333,1,6.33333333333333,5,1,3,1.33333333333333,7,1,1,1,34.22861054
248,248,0,1,NA,NA,13,19.5,0,1.5,2.5,6.75,4.5,4,5.75,1,4.5,3.25,2,5,1.5,5.75,3.75,4.25,3,5.75,3,2.75,4.5,5.5,5.5,3.25,3.25,5.5,1.25,2,2.75,4.25,5.75,2.25,5.5,3.75,6,6.75,5.25,2,2.75,4.75,3.25,1.5,3,4.5,6,1,1,1,31.25804244
249,249,0,1,NA,NA,4,44,0,1.66666666666667,2,6.33333333333333,5.33333333333333,4.33333333333333,4.66666666666667,1,6,4.33333333333333,2.66666666666667,4,1,3,3,4,2.66666666666667,3.33333333333333,5,3,2.66666666666667,4.33333333333333,5.33333333333333,2.66666666666667,1.66666666666667,4.66666666666667,1,1,2.66666666666667,4.66666666666667,5,3.66666666666667,4,2.66666666666667,5.33333333333333,3.66666666666667,4.66666666666667,2.33333333333333,2.66666666666667,3.33333333333333,4.33333333333333,1.33333333333333,4.33333333333333,2,5.66666666666667,1,1,1,31.27173169
