sex,status,age_pr,age,origin,sample,Dom,Ext,Con,Agr,Neu,Opn
1,0,43.27446954,53.68147642,WILD,4,3.911111111,4.433333333,5.261904762,4.666666667,3.8,3.083333333
0,1,32.14217362,40.43745728,CAPTIVE,6,3.541666667,3.111111111,5.111111111,4.1,3.166666667,2.5
0,0,15.58110883,37.34244703,CAPTIVE,2,2.958333333,3.166666667,5.777777778,3.6,5,2.5
1,0,25.52407027,35.70471634,WILD,4,4.511111111,4.433333333,4.595238095,4.111111111,3.133333333,4
0,1,24.22419686,33.91934381,CAPTIVE,6,3.708333333,3.944444444,5.277777778,4.2,4.5,4.5
1,1,7.463381246,21.04989747,CAPTIVE,2,4.041666667,6.111111111,4.861111111,4.45,4.5,5.625
1,1,10.62833676,27.27819549,CAPTIVE,2,5.166666667,5.444444444,4.5,3.5,5,4.5
0,1,11.36842105,29.55570745,CAPTIVE,6,2.833333333,3.222222222,4.222222222,3,5.333333333,3
0,0,11.52908966,33.47368421,CAPTIVE,2,3.472222222,3.481481481,5.666666667,4.6,2.777777778,3.333333334
0,0,22.23134839,44.83663705,WILD,2,4.770833333,3.555555556,4.666666667,3.2,3.666666667,3.125
0,0,30.33082364,40.56049214,WILD,4,4.666666667,4.266666667,5.80952381,3.777777778,3.133333333,3.25
0,0,33.42642026,43.5543404,WILD,4,4.088888889,4.033333333,4.5,4.055555556,3.266666667,3.916666667
0,0,12.13689254,13.75529733,CAPTIVE,2,4.833333333,6.166666667,6,4.8,4.833333333,6.75
1,1,28.79835954,44.98154477,WILD,6,5.208333333,2.944444444,4.055555556,3.9,4.333333333,2.25
1,1,21.71428571,36.87764867,CAPTIVE,6,5.833333333,4.944444444,3.111111111,3,5.833333333,5.5
1,1,26.24503765,32.2050581,WILD,2,4.333333333,4,5.533333333,4.08,3.866666667,2.7
0,1,37.95215311,47.15242652,CAPTIVE,6,3.583333333,3.111111111,5.5,3.6,2.5,2
1,0,10.69678303,20.86397813,CAPTIVE,4,3.688888889,4.366666667,4.619047619,4.166666667,3.2,4
0,1,28.48120301,36.89952153,WILD,6,4.208333333,4.277777778,5.222222222,3.8,3,3.75
1,1,25.81544771,39.41490089,CAPTIVE,6,2.708333333,3.333333333,4.166666667,3.1,6,3
0,0,32.36869724,42.55639098,WILD,4,4.266666667,3.266666667,5.404761905,3.5,3.066666667,3.916666667
0,1,25.41353383,41.27409433,CAPTIVE,6,3.541666667,3.166666667,5.111111111,3.7,4.166666667,3
