rearing,sex,status,age
1,0,1,20.74641148
3,0,1,39.43130554
1,0,0,23.01845523
1,0,1,38.72863978
1,0,1,16.75461381
2,0,0,24.73547505
1,1,1,28.6151743
2,0,1,25.4354067
1,0,1,35.02392344
1,0,1,45.25768968
2,1,0,25.22488038
2,1,0,24.68899522
2,1,1,18.85167464
2,0,1,28.10663021
2,0,1,35.316473
2,0,1,32.28708134
2,1,1,27.4859877
1,0,0,18.90088859
1,0,1,42.14080656
1,0,0,39.60082023
3,1,0,26.86261107
1,0,1,44.15311005
2,0,1,20.33356118
1,1,1,18.76418319
1,0,0,47.04032809
2,1,1,31.95898838
1,0,1,47.15242652
1,0,1,50.54272044
1,0,0,30.86261107
2,1,1,38.08339029
1,1,0,19.51332878
2,1,0,32.03827751
2,1,0,23.3520164
1,0,1,22.90088859
2,0,1,22.96924129
2,1,0,29.68147642
1,1,1,27.4887218
1,0,0,26.31032126
1,0,1,54.93096377
3,0,1,40.86124402
2,1,0,26.82706767
1,0,0,20.66438824
2,0,0,39.1442242
1,1,0,23.22898154
2,1,1,24.12303486
2,1,1,22.20369105
1,1,1,28.92686261
1,0,1,32.76008202
1,0,0,26.32125769
1,0,0,27.61175666
2,1,0,38.56732741
2,0,0,27.09501025
1,1,1,40.18045113
1,0,0,25.81818182
2,1,1,19.8961039
1,1,1,10.38961039
2,1,0,22.89815448
2,1,1,24.89131921
2,1,1,21.74162679
1,0,1,21.56390977
1,0,1,37.54477102
1,0,0,27.23718387
2,1,1,23.99726589
1,0,1,42.81613124
2,0,0,24.39917977
2,0,0,23.60082023
1,0,0,21.15105947
2,0,1,42.29391661
2,0,0,48.101162
3,0,1,35.47778537
2,0,0,23.25632262
3,1,0,27.53520164
2,0,1,61.8455229
1,0,1,44.56322625
2,1,0,32.76828435
1,0,0,35.40396446
1,1,0,18.82159945
1,0,1,40.9924812
2,0,1,40.43745728
1,1,1,41.17019822
2,1,1,22.91729323
1,1,1,43.67190704
2,0,0,39.26179084
1,0,0,21.4354067
2,0,1,23.0758715
2,1,1,22.36500342
1,0,1,36.89952153
2,0,1,47.85235817
1,0,1,37.95488722
1,0,1,57.88380041
2,0,1,21.14559125
1,0,0,23.88790157
2,1,1,28.16678059
1,1,1,50.15174299
1,1,0,18.15721121
2,1,1,49.59945318
2,1,0,35.27272727
2,1,1,22.28024607
2,1,0,48.01093643
1,0,0,17.71428571
2,0,0,21.41900205
2,1,1,25.93301435
2,0,1,29.55570745
2,0,0,28.61790841
2,0,1,21.80451128
1,0,1,21.71975393
1,1,0,25.69241285
1,1,1,36.95420369
3,1,1,26.23103213
2,0,0,21.93028025
2,0,1,19.06220096
2,0,1,33.91934381
2,1,1,39.41490089
1,0,0,46.04237867
2,0,0,47.04032809
2,0,0,22.09432673
1,0,0,21.86466165
2,0,0,14.22009569
1,0,1,51.22077922
2,1,0,22.85440875
1,0,1,44.36637047
1,0,1,57.60492139
2,1,0,26.03417635
1,1,1,31.54340396
2,1,1,22.66848941
2,1,0,26.66848941
1,0,1,49.01161996
2,0,1,41.27409433
1,0,1,29.73615858
2,0,0,55.51606288
2,0,1,51.71838688
2,1,1,27.32194122
1,1,0,22.47983595
1,0,1,53.76349966
2,0,0,31.29460014
1,0,1,28.85030759
2,0,1,34.24470267
2,1,0,22.98564593
2,1,1,36.87764867
1,0,0,22.55912509
1,1,1,16.72727273
2,1,1,25.11551606
1,0,1,16.15857826
1,1,1,27.19070403
2,0,1,28.07108681
2,1,0,22.54272044
1,0,1,41.95215311
1,1,0,14.90362269
1,1,1,25.07723855
1,1,1,38.12713602
1,0,1,14.79699248
2,1,1,31.89336979
1,0,0,28.22419686
2,0,1,44.1038961
2,0,0,24.80656186
1,1,1,18.81886535
1,1,1,15.79767601
1,0,0,28.3417635
1,1,1,44.98154477
1,1,0,27.85782638
2,0,0,22.09159262
3,0,0,27.56801094
1,1,1,34.61107314
2,0,0,37.38072454
1,1,0,33.81818182
1,0,0,18.53998633
2,0,1,36.06015038
2,1,0,28.70813397
1,1,0,24.00546822
2,1,1,17.45727956
2,0,0,27.1442242
1,0,0,43.94805195
2,0,0,31.14969241
1,1,1,26.81339713
1,0,1,41.53656869
3,0,1,40.83116883
1,1,1,8.426520848
1,0,0,31.04853042
2,0,0,40.01640465
1,0,0,22.64388243
1,0,0,49.15379357
2,1,0,30.06151743
3,0,0,20.51674641
1,1,0,26.60013671
1,0,0,24.77922078
2,0,0,41.59671907
1,0,1,30.734108
1,1,1,29.17840055
2,0,0,61.75256323
1,0,1,13.12645249
2,1,0,22.02050581
2,1,0,29.15105947
2,1,1,34.07245386
2,0,0,25.74982912
