chimp,location,DOB,subspecies,status,cause of death,census date,born?,rearing?,transfers?,mother,father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,age,sex,DOPR,dominance,extraversion,conscientiousness,agreeableness,neuroticism,openness,swb,t_dom,t_ext,t_con,t_agr,t_neu,t_opn,t_swb
Ai,PRI,01/01/1976,V,alive,,03/10/2016,WILD,WILD,2,NA,NA,2,6,5.666666667,5.333333333,3,2.333333333,6.333333333,6,3,3,1.333333333,1.666666667,2.333333333,3.666666667,3,2.333333333,6,6,5.666666667,2,2.666666667,5,5,5.333333333,1,1,4.333333333,5,5.666666667,1.333333333,4.666666667,5.333333333,5.333333333,2,4,2.333333333,3.333333333,1.333333333,3.666666667,2.333333333,3.333333333,2,5.666666667,3.666666667,2,2.666666667,1.333333333,2.666666667,4,5.666666667,2.333333333,5,3,2,,,,,,,,,,,0,,,,,,,,,,,,,,,
Akiko,Kouchi,01/01/1978,V,alive,,03/10/2016,WILD,WILD,3,NA,NA,4.666666667,3.333333333,4.666666667,5,6.333333333,3.333333333,3,1.666666667,3.333333333,6,2.666666667,3.666666667,4.333333333,2.333333333,3.333333333,3.333333333,1,1,2.666666667,5.333333333,5,2.666666667,2.666666667,4,2.333333333,2.333333333,1,5.666666667,3.666666667,2.333333333,4.666666667,1,4.666666667,3,3.333333333,2.333333333,1.333333333,5.666666667,3.666666667,2.666666667,4.333333333,4.333333333,4.333333333,1.666666667,2.333333333,5,2.666666667,2,4.666666667,3.333333333,2,3.666666667,2,3.666666667,,,,,,,,,,,0,,,,,,,,,,,,,,,
Akiko2,JMC,01/01/1973,V,dead,senility,01/11/2010,WILD,WILD,2,NA,NA,1.666666667,1.666666667,5,6.333333333,5.666666667,2,2.666666667,1.666666667,1.666666667,5.666666667,1,6.333333333,2.333333333,2.666666667,2.333333333,5,1.333333333,2,4.666666667,6.333333333,5.333333333,2.666666667,2.666666667,2.333333333,1.333333333,2.333333333,1.666666667,5.333333333,5.333333333,1,5.666666667,2.333333333,4.666666667,6,2.666666667,2.333333333,1.666666667,4.666666667,4.333333333,1.666666667,5,2,4.666666667,2.333333333,1.333333333,4.666666667,3.333333333,2,5.333333333,3.666666667,3.333333333,2,2,4.333333333,,,,,,,,,,,0,,,,,,,,,,,,,,,
Akina,Sanwa,3/20/1986,V,alive,,03/10/2016,CAPTIVE,MOTHER?,0,Aki,Tompachi,1,5,4.666666667,4,3.333333333,1,4.333333333,5.333333333,5,3.333333333,4,2.333333333,4,4,4,1.666666667,6,5.666666667,4.666666667,2.666666667,2.333333333,3.333333333,4.666666667,4,2.333333333,3.333333333,4.666666667,4,4,1,4,4.666666667,4,3,3.666666667,4.333333333,1,3,4,3,3.666666667,4,4.333333333,5,3,3.333333333,4,3.666666667,4,4,3.666666667,4.666666667,4,4,,,,,,,,,,,0,,,,,,,,,,,,,,,
Akira,PRI,01/01/1976,V,alive,,03/10/2016,WILD,WILD,1,NA,NA,3.333333333,6,3,3,2.666666667,1.333333333,4.333333333,3,4.333333333,4,4,2,3.333333333,3,5.333333333,3,6,4.333333333,2.333333333,1.666666667,2.333333333,4.666666667,3.666666667,3.666666667,1.666666667,1.666666667,5,4.333333333,3.666666667,2.333333333,3.666666667,4,3.666666667,2.333333333,2.333333333,2,2.333333333,2.666666667,1.333333333,1.666666667,2.333333333,1.333333333,3.666666667,3,1.333333333,3.666666667,3.666666667,3.333333333,1.666666667,3.666666667,5.333333333,3.666666667,1.666666667,4.333333333,,,,,,,,,,,1,,,,,,,,,,,,,,,
Akira2,JMC,03/01/1980,V,alive,,03/10/2016,UNKNOWN,?,1,,,3,4.666666667,4.666666667,2.333333333,4.666666667,3,5,4.333333333,4,4.666666667,2.333333333,4,4,2,5.333333333,4.666666667,3.333333333,3,2,3,5.333333333,5.333333333,4,5,1,1.333333333,4.333333333,5.333333333,3.333333333,1,4,4,3.333333333,3.333333333,5.333333333,3,2.333333333,4.333333333,2,3,3.333333333,1.666666667,6.333333333,4.666666667,1,5,3.333333333,1.666666667,4.333333333,5.666666667,3.666666667,4.333333333,4,3.666666667,,,,,,,,,,,1,,,,,,,,,,,,,,,
Anna2,Tama,1/22/2005,U,alive,,03/10/2016,CAPTIVE,?,1,Marina,Lucky2,3.5,3,4.25,3,3.75,1,2.75,2.75,2.75,5.25,2.5,4.5,5.5,1.75,5.5,3.25,1.25,2,2.25,3.5,4,1.5,1.5,4.25,3,5,2,2.5,2.5,1.25,3.5,1.75,2.75,2.75,4.75,2,1.25,4,1,2,3,4.5,3,3.5,1,3,2.5,1.25,2.75,5.5,3.5,1.5,3.25,2.25,,,,,,,,,,,0,,,,,,,,,,,,,,,
Arare,Sanwa,3/18/1991,V,alive,,03/10/2016,CAPTIVE,HUMAN,1,Yuki,Genki,1.333333333,2.666666667,3.666666667,5.666666667,5,1,3,3,3,4,4,3.666666667,3.333333333,4.666666667,3.333333333,3.333333333,3.666666667,3.333333333,2.666666667,5,4.666666667,3,3,4,3.333333333,4,2.666666667,3.333333333,4,1,4,2.666666667,4,3,3.666666667,3,1,5,4.666666667,3,4.333333333,3.333333333,4.333333333,2,3,4.666666667,3,4.333333333,4.666666667,4,3,4.666666667,3.666666667,4,,,,,,,,,,,0,,,,,,,,,,,,,,,
Aruku,Sanwa,12/07/1989,V,alive,,03/10/2016,CAPTIVE,MOTHER?,0,Ran,Hajime,1,3.333333333,4.333333333,4.666666667,3,1,5,4.666666667,4,4,3.333333333,4.333333333,5,4,4.666666667,4.333333333,4.333333333,4.333333333,4,4.333333333,3.666666667,3.666666667,3,4,3.666666667,3.333333333,3,5.333333333,4.666666667,1,4,4,5,4.666666667,4.333333333,3.333333333,1,3.333333333,3,2,3.666666667,3.666666667,3.666666667,3.333333333,2.333333333,4.333333333,3.333333333,4.666666667,3.333333333,5,3.333333333,4.333333333,4,4.333333333,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ayumu,PRI,4/24/2000,V,alive,,03/10/2016,CAPTIVE,MOTHER,0,Ai,Akira,5,5.333333333,5.333333333,5.333333333,3.666666667,2.666666667,4,4.333333333,2.333333333,3.666666667,3.333333333,3,4.666666667,2.666666667,4.666666667,2.666666667,5.333333333,4,5,3.333333333,3.666666667,3.666666667,3.333333333,5.333333333,3.333333333,4.666666667,4,4.333333333,4.333333333,2.333333333,4,3.333333333,5,3.333333333,4.666666667,3.333333333,2.666666667,3.333333333,3,2,3.333333333,4,3,5.333333333,3.333333333,3.333333333,3.333333333,4.333333333,3.666666667,5.333333333,2.666666667,2.666666667,4.666666667,2.666666667,,,,,,,,,,,1,,,,,,,,,,,,,,,
