Round 1,Region,Seed,Team,Round 1 Results,Round 2,Region,Seed,Team,Round 2 Results,Round 3,Region,Seed,Team,Round 3 Results,Round 4,Region,Seed,Team,Round 4 Results,Round 5,Region,Seed,Team,Round 5 Results,Round 6,Region,Seed,Team,Round 6 Results
,East,1,Ohio St.,W,,East,1,Ohio St.,W,,East,1,Ohio St.,L,,East,4,Kentucky,W,,East,4,Kentucky,L,,West,3,Connecticut,W
,,16,UTSA,L,,,8,George Mason,L,,,4,Kentucky,W,,,2,North Carolina,L,,West,3,Connecticut,W,,Southeast,8,Butler,L
,,8,George Mason,W,,,5,West Virginia,L,,,11,Marquette,L,,West,5,Arizona,L,,Southwest,11,VCU,L,,,,,
,,9,Villanova,L,,,4,Kentucky,W,,,2,North Carolina,W,,,3,Connecticut,W,,Southeast,8,Butler,W,,,,,
,,5,West Virginia,W,,,11,Marquette,W,,West,1,Duke,L,,Southwest,1,Kansas,L,,,,,,,,,,
,,12,Clemson,L,,,3,Syracuse,L,,,5,Arizona,W,,,11,VCU,W,,,,,,,,,,
,,4,Kentucky,W,,,7,Washington,L,,,3,Connecticut,W,,Southeast,8,Butler,W,,,,,,,,,,
,,13,Princeton,L,,,2,North Carolina,W,,,2,San Diego St.,L,,,2,Florida,L,,,,,,,,,,
,,6,Xavier,L,,West,1,Duke,W,,Southwest,1,Kansas,W,,,,,,,,,,,,,,,
,,11,Marquette,W,,,8,Michigan,L,,,12,Richmond,L,,,,,,,,,,,,,,,
,,3,Syracuse,W,,,5,Arizona,W,,,11,VCU,W,,,,,,,,,,,,,,,
,,14,Indiana St.,L,,,4,Texas,L,,,10,Florida St.,L,,,,,,,,,,,,,,,
,,7,Washington,W,,,6,Cincinnati,L,,Southeast,8,Butler,W,,,,,,,,,,,,,,,
,,10,Georgia,L,,,3,Connecticut,W,,,4,Wisconsin,L,,,,,,,,,,,,,,,
,,2,North Carolina,W,,,7,Temple,L,,,3,Brigham Young,L,,,,,,,,,,,,,,,
,,15,Long Island,L,,,2,San Diego St.,W,,,2,Florida  ,W,,,,,,,,,,,,,,,
,West,1,Duke,W,,Southwest,1,Kansas,W,,,,,,,,,,,,,,,,,,,,
,,16,Hampton,L,,,9,Illinois,L,,,,,,,,,,,,,,,,,,,,
,,8,Michigan,W,,,12,Richmond,W,,,,,,,,,,,,,,,,,,,,
