Round 1,Region,Seed,Team,Round 1 Results,Round 2,Region,Seed,Team,Round 2 Results,Round 3,Region,Seed,Team,Round 3 Results,Round 4,Region,Seed,Team,Round 4 Results,Round 5,Region,Seed,Team,Round 5 Results,Round 6,Region,Seed,Team,Round 6 Results,
,South,1,Florida,W,,South,1,Florida,W,,South,1,Florida,W,,South,1,Florida,W,,South,1,Florida,L,,East,7,Connecticut,W,
,,16,Albany,L,,,9,Pittsburgh,L,,,4,UCLA,L,,,11,Dayton,L,,East,7,Connecticut,W,,Midwest,8,Kentucky,L,
,,8,Colorado,L,,,12,Stephen F. Austin,L,,,11,Dayton,W,,East,4,Michigan St.,L,,West,2,Wisconsin,L,,,,,,
,,9,Pittsburgh,W,,,4,UCLA,W,,,10,Stanford,L,,,7,Connecticut,W,,Midwest,8,Kentucky,W,,,,,,
,,5,VCU,L,,,11,Dayton,W,,East,1,Virginia,L,,West,1,Arizona,L,,,,,,,,,,,
,,12,Stephen F. Austin,W,,,3,Syracuse,L,,,4,Michigan St.,W,,,2,Wisconsin,W,,,,,,,,,,,
,,4,UCLA,W,,,10,Stanford,W,,,3,Iowa St.,L,,Midwest,8,Kentucky,W,,,,,,,,,,,
,,13,Tulsa,L,,,2,Kansas,L,,,7,Connecticut,W,,,2,Michigan,L,,,,,,,,,,,
,,6,Ohio St.,L,,East,1,Virginia,W,,West,1,Arizona,W,,,,,,,,,,,,,,,,
,,11,Dayton,W,,,8,Memphis,L,,,4,San Diego St.,L,,,,,,,,,,,,,,,,
,,3,Syracuse,W,,,12,Harvard,L,,,6,Baylor,L,,,,,,,,,,,,,,,,
,,14,Western Michigan,L,,,4,Michigan St.,W,,,2,Wisconsin,W,,,,,,,,,,,,,,,,
,,7,New Mexico,L,,,6,North Carolina,L,,Midwest,8,Kentucky,W,,,,,,,,,,,,,,,,
,,10,Stanford,W,,,3,Iowa St.,W,,,4,Louisville,L,,,,,,,,,,,,,,,,
,,2,Kansas,W,,,7,Connecticut,W,,,11,Tennessee,L,,,,,,,,,,,,,,,,
,,15,Eastern Kentucky,L,,,2,Villanova,L,,,2,Michigan,W,,,,,,,,,,,,,,,,
,East,1,Virginia,W,,West,1,Arizona,W,,,,,,,,,,,,,,,,,,,,,
,,16,Coastal Carolina,L,,,8,Gonzaga,L,,,,,,,,,,,,,,,,,,,,,
,,8,Memphis,W,,,12,North Dakota St.,L,,,,,,,,,,,,,,,,,,,,,
,,9,George Washington,L,,,4,San Diego St.,W,,,,,,,,,,,,,,,,,,,,,
,,5,Cincinnati,L,,,6,Baylor,W,,,,,,,,,,,,,,,,,,,,,
,,12,Harvard,W,,,3,Creighton,L,,,,,,,,,,,,,,,,,,,,,
,,4,Michigan St.,W,,,7,Oregon,L,,,,,,,,,,,,,,,,,,,,,
,,13,Delaware,L,,,2,Wisconsin,W,,,,,,,,,,,,,,,,,,,,,
,,6,North Carolina,W,,Midwest,1,Wichita St.,L,,,,,,,,,,,,,,,,,,,,,
,,11,Providance,L,,,8,Kentucky,W,,,,,,,,,,,,,,,,,,,,,
,,3,Iowa St.,W,,,5,Saint Louis,L,,,,,,,,,,,,,,,,,,,,,
,,14,North Carolina Central,L,,,4,Louisville,W,,,,,,,,,,,,,,,,,,,,,
,,7,Connecticut,W,,,11,Tennessee,W,,,,,,,,,,,,,,,,,,,,,
,,10,Saint Joseph's,L,,,14,Mercer,L,,,,,,,,,,,,,,,,,,,,,
,,2,Villanova,W,,,7,Texas,L,,,,,,,,,,,,,,,,,,,,,
,,15,Milwaukee,L,,,2,Michigan,W,,,,,,,,,,,,,,,,,,,,,
,West,1,Arizona,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,Weber St.,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,Gonzaga,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Oklahoma St.,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Oklahoma  ,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,North Dakota St.,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,San Diego St.,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,New Mexico St.,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Baylor,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,Nebraska,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Creighton,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,Louisiana Lafayette,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Oregon,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,BYU,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Wisconsin,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,American,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midwest,1,Wichita St.,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,Cal Poly,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,Kentucky,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,Kansas St.,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,Saint Louis,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,North Carolina St.,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Louisville,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,Manhattan,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,Massachusetts,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,Tennessee,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Duke,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,Mercer,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,Texas,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,Arizona St.,L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Michigan,W,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,Wofford,L,,,,,,,,,,,,,,,,,,,,,,,,,,
