Rank ,Team ,Conf ,W-L ,Pyth ,AdjO ,,AdjD ,,AdjT ,,Luck ,,SoS-Pyth ,,OppO ,,OppD ,,NCSoS-Pyth,
1,Louisville 1,BE,35-5,0.9713,117.4,4,86.4,3,66.8,126,-0.016,229,0.7278,9,104.9,16,96.3,4,0.5415,114
2,Florida 3,SEC,29-Aug,0.9515,112.7,12,87,4,62.8,294,-0.089,332,0.6627,40,103.6,64,97.7,35,0.594,67
3,Indiana 1,B10,29-Jul,0.9438,117.9,3,92.3,28,67.3,109,-0.021,238,0.7021,17,104.6,24,97.1,17,0.3815,293
4,Michigan 4,B10,31-Aug,0.9427,120.3,1,94.3,48,65.1,210,-0.006,196,0.7366,4,105.6,9,96.6,9,0.4037,274
5,Gonzaga 1,WCC,32-3,0.9408,118.4,2,93.1,37,64.6,232,0.026,115,0.6054,86,103.4,70,99.6,103,0.6046,56
6,Duke 2,ACC,30-Jun,0.9345,116.7,5,92.6,31,67.6,96,0.033,95,0.7345,6,106.6,1,97.6,32,0.6613,23
7,Ohio St. 2,B10,29-Aug,0.9333,113.1,11,89.9,12,65,214,0.02,133,0.729,8,105,14,96.4,5,0.4002,280
8,Kansas 1,B12,31-6,0.9302,110,34,87.8,5,67.8,87,0.01,151,0.6631,39,105,15,99,79,0.5535,102
9,Michigan St. 3,B10,27-Sep,0.9298,110.7,28,88.4,7,64.1,255,0.001,172,0.7611,1,106.5,2,96.3,3,0.4956,171
10,Syracuse 4,BE,30-Oct,0.9247,110.4,29,88.8,8,64.2,252,-0.003,188,0.7189,12,104.7,19,96.5,8,0.3854,290
11,Pittsburgh 8,BE,24-Sep,0.9148,112.3,17,91.4,21,60.7,337,-0.058,304,0.6104,79,103,87,99.1,84,0.2847,340
12,Georgetown 2,BE,25-Jul,0.9111,105.7,78,86.3,2,62.5,301,0.039,80,0.6664,37,104.1,37,98,46,0.3724,298
13,Wisconsin 5,B10,23-Dec,0.9045,104.1,108,85.6,1,61.7,318,-0.033,266,0.7324,7,106.3,3,97.4,25,0.445,241
14,Miami FL 2,ACC,29-Jul,0.9033,112.1,20,92.3,29,63.1,287,0.029,107,0.702,18,105.7,7,98.1,47,0.6174,43
15,Arizona 6,P12,27-Aug,0.8961,113.7,10,94.3,47,66.6,143,-0.011,214,0.6824,24,104.2,34,97.5,29,0.5293,128
16,Saint Louis 4,A10,28-Jul,0.893,105.8,75,88,6,65,211,0,176,0.588,95,102.4,108,99.3,90,0.411,269
17,Wichita St. 9,MVC,30-Sep,0.8915,110.3,30,91.8,25,65.1,209,-0.002,184,0.6612,41,104.9,17,99,76,0.5009,161
18,Creighton 7,MVC,28-Aug,0.8873,115.3,8,96.4,80,64.8,221,-0.009,206,0.6279,70,103.3,76,98.7,66,0.5148,147
19,New Mexico 3,MWC,29-Jun,0.8812,107.9,53,90.6,18,64.8,222,0.074,27,0.6829,23,104.2,33,97.4,27,0.6085,48
20,VCU 5,A10,27-Sep,0.8762,111.6,21,94.2,45,68.2,74,0.002,169,0.6148,78,103.7,62,99.5,99,0.4849,189
21,Kansas St. 4,B12,27-Aug,0.8749,112.5,15,95,56,62.5,299,0.051,50,0.6512,51,104.1,39,98.6,61,0.453,232
22,Oklahoma St. 5,B12,24-Sep,0.8729,106.7,68,90.2,15,67.6,95,-0.016,228,0.644,60,104.9,18,99.6,104,0.4351,254
23,Saint Mary's 11,WCC,28-Jul,0.8712,112.7,13,95.4,66,64.2,249,0.024,122,0.5833,99,103.2,83,100.2,119,0.4798,195
24,Marquette 3,BE,26-Sep,0.8711,111.2,25,94.2,46,64.4,239,0.09,10,0.7184,13,103.7,61,95.6,1,0.4997,164
26,Minnesota 11,B10,21-13,0.8677,112.4,16,95.4,65,63.4,278,-0.036,273,0.7516,2,106.2,4,96.4,6,0.5511,104
27,Iowa St. 10,B12,23-Dec,0.8641,116.6,6,99.2,133,69.3,34,-0.046,288,0.6502,55,103.4,69,98,44,0.4216,264
28,Oregon 12,P12,28-Sep,0.8637,104.8,94,89.2,10,68.9,49,0.053,46,0.6236,74,102.8,96,98.4,54,0.3137,328
30,Colorado St. 8,MWC,26-Sep,0.8615,116.4,7,99.3,135,64.9,218,0.02,132,0.6709,34,103.7,59,97.4,28,0.4952,174
