sagRank,Team,,RATING,W,L,SCHEDL,(RANK) VS,top,25,|,VS top,50,|,GO,LDEN_MEA,N,|,PREDICTOR,,|,PURE_ELO,
1,Arizona,=,94.77,26,2,78.47,-36,4,0,|,11,1,|,,95.87,1,|,94.27,1,|,95.14,2
2,Duke,=,91.25,23,6,78.59,-34,5,4,|,6,4,|,,91.78,3,|,91.65,3,|,88.85,11
3,Kansas,=,91.23,22,6,81.8,-1,4,3,|,11,6,|,,90.8,6,|,91.41,4,|,89.98,8
4,Louisville,=,91.06,24,4,72.83,-142,2,3,|,3,4,|,,93.06,2,|,92.29,2,|,86.79,20
5,Villanova,=,90.96,25,3,78.76,-29,2,3,|,5,3,|,,91.07,5,|,90.39,7,|,92.68,6
6,Creighton,=,90.81,23,4,78.89,-26,2,1,|,5,3,|,,91.6,4,|,90.65,6,|,89.89,9
7,Wisconsin,=,90.51,23,5,81.05,-3,6,2,|,9,3,|,,90.37,9,|,89.88,10,|,93.05,4
8,Florida,=,90.38,26,2,77.58,-55,2,2,|,7,2,|,,88.65,15,|,90.12,8,|,93.03,5
9,Michigan St.,=,89.67,22,6,79.54,-16,3,4,|,6,4,|,,90.54,7,|,89.61,11,|,88.33,14
10,Virginia,=,89.61,24,5,77.74,-51,2,2,|,5,4,|,,90.09,10,|,89.5,13,|,88.68,12
11,Michigan,=,89.45,20,7,81.72,-2,5,5,|,8,5,|,,88.74,14,|,89.54,12,|,88.66,13
12,Iowa,=,89.19,19,9,79.62,-13,2,7,|,4,8,|,,90.42,8,|,90.92,5,|,84.28,32
13,Ohio St.,=,88.69,22,7,77.91,-47,2,3,|,3,4,|,,89.65,11,|,89.91,9,|,84.45,29
14,Iowa St.,=,88.62,22,5,79.53,-17,3,2,|,8,4,|,,87.96,19,|,88.75,14,|,87.72,16
15,Syracuse,=,88.58,26,2,77.85,-48,5,1,|,8,1,|,,88.24,16,|,87.78,18,|,93.52,3
16,Wichita St.,=,88.06,29,0,73.24,-128,0,0,|,3,0,|,,88.08,17,|,87.05,20,|,97.37,1
17,Kentucky,=,87.8,21,7,78.35,-37,1,3,|,2,6,|,,88.94,12,|,88.26,17,|,84.81,26
18,UCLA,=,87.75,21,7,77.93,-46,0,2,|,6,5,|,,88.91,13,|,88.32,16,|,84.52,28
19,Oklahoma St.,=,86.93,18,10,78.8,-27,0,2,|,4,9,|,,88.01,18,|,88.7,15,|,81.62,54
20,North Carolina,=,86.9,21,7,78.13,-40,5,2,|,6,3,|,,86.96,20,|,86.38,22,|,88.33,15
21,Pittsburgh,=,86.58,21,7,77.02,-66,0,6,|,1,7,|,,85.79,22,|,87.33,19,|,83.88,36
22,Cincinnati,=,86.49,24,4,74.54,-110,3,1,|,5,4,|,,86.91,21,|,85.96,23,|,87.55,17
23,Connecticut,=,86.18,22,6,76.01,-85,1,2,|,4,5,|,,85.46,25,|,86.46,21,|,84.74,27
24,San Diego St.,=,86.07,22,3,74.89,-103,2,1,|,2,2,|,,85.23,28,|,85.45,25,|,89.58,10
25,Gonzaga,=,85.6,23,6,75.49,-94,0,0,|,2,3,|,,85.67,23,|,85.76,24,|,83.97,33
26,VCU,=,85.32,21,7,75.44,-95,1,0,|,2,4,|,,85.45,26,|,85.38,26,|,83.95,35
27,Oklahoma,=,85.31,20,8,80.06,-8,3,4,|,7,6,|,,85.25,27,|,84.98,29,|,85.76,23
