Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Augustus,2011.03.09,1,1,D,A,D,0,0,1.3,4.25,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,8,10,sc.1154,Chamber 2,40,4,2,-,10,12,2,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,2,2,C,A,C,0,0,0.8166667,11.11667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,13,1,sc.1154,Chamber 2,40,4,2,-,1,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,3,3,C,A,C,0,0,1.616667,19.25,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,10,3,sc.1154,Chamber 2,40,4,2,-,3,4,10,11,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,4,4,D,A,D,0,0,1.9,28.21667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,0,10,sc.1154,Chamber 2,40,4,2,-,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,5,5,D,A,D,0,0,1.183333,36.1,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,8,15,sc.1154,Chamber 2,40,4,2,-,15,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,6,6,A,A,-,1,bl,1.233333,45,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,15,15,sc.1154,Chamber 2,40,4,2,-,15,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,7,6,C,B,AC,0,0,2.066667,47.05,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,12,11,sc.1155,Chamber 2,40,4,2,-,15,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,8,7,B,A,B,0,0,2,55.71667,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,15,5,sc.1154,Chamber 2,40,4,2,-,5,15,14,2,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,9,8,B,A,B,0,0,2.816667,65.9,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,0,6,sc.1154,Chamber 2,40,4,2,-,6,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
Augustus,2011.03.09,10,9,C,A,C,0,0,1.066667,73.33333,05:55,1,1154 1155 1157 1159,4,1,off,-,-,-,-,1,15,sc.1154,Chamber 2,40,4,2,-,15,12,1,13,0,0,0,0,0,0,0,0,0,0,0,0
