Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used
Benedict,2012.02.20,1,1,A,A,-,1,bl,1.1,14.75,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,2,2,sc.20420,Chamber 3,40,4,2,-,2
Benedict,2012.02.20,2,1,D,B,AD,0,0,1.216667,15.86667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,5,15,sc.20422,Chamber 3,40,4,2,-,2
Benedict,2012.02.20,3,2,C,A,C,0,0,1.366667,23.98333,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,9,6,sc.20420,Chamber 3,40,4,2,-,6
Benedict,2012.02.20,4,3,A,A,-,1,bl,1.583333,32.81667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,12,12,sc.20420,Chamber 3,40,4,2,-,12
Benedict,2012.02.20,5,3,B,B,-,1,bl,1.75,34.56667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,11,11,sc.20422,Chamber 3,40,4,2,-,12
Benedict,2012.02.20,6,3,D,C,ABD,0,0,0.7833333,35.35,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,10,9,sc.20424,Chamber 3,40,4,2,-,12
Benedict,2012.02.20,7,4,A,A,-,1,bl,2.383333,50.58333,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,6,6,sc.20420,Chamber 3,40,4,2,-,6
Benedict,2012.02.20,8,4,C,B,AC,0,0,1.816667,52.4,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,9,7,sc.20422,Chamber 3,40,4,2,-,6
Benedict,2012.02.20,9,5,A,A,-,1,bl,3.45,62.76667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,3,3,sc.20420,Chamber 3,40,4,2,-,3
Benedict,2012.02.20,10,5,B,B,-,1,bl,0.7833333,63.55,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,15,15,sc.20422,Chamber 3,40,4,2,-,3
Benedict,2012.02.20,11,5,D,C,ABD,0,0,1.316667,64.86667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,8,12,sc.20424,Chamber 3,40,4,2,-,3
Benedict,2012.02.20,12,6,A,A,-,1,bl,3.85,75.36667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,9,9,sc.20420,Chamber 3,40,4,2,-,9
Benedict,2012.02.20,13,6,B,B,-,1,bl,0.5166667,75.88333,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,2,2,sc.20422,Chamber 3,40,4,2,-,9
Benedict,2012.02.20,14,6,C,C,-,1,bl,1.316667,77.2,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,0,0,sc.20424,Chamber 3,40,4,2,-,9
Benedict,2012.02.20,15,6,D,D,ABCD,1,1,0.45,77.65,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,7,7,sc.20426,Chamber 3,40,4,2,-,9
Benedict,2012.02.20,16,7,A,A,-,1,bl,1.716667,83.11667,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,7,7,sc.20420,Chamber 3,40,4,2,-,7
Benedict,2012.02.20,17,7,B,B,-,1,bl,1.433333,84.55,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,2,2,sc.20422,Chamber 3,40,4,2,-,7
Benedict,2012.02.20,18,7,D,C,ABD,0,0,1.15,85.7,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,0,8,sc.20424,Chamber 3,40,4,2,-,7
Benedict,2012.02.20,19,8,A,A,-,1,bl,1.016667,94.28333,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,7,7,sc.20420,Chamber 3,40,4,2,-,7
Benedict,2012.02.20,20,8,B,B,-,1,bl,0.65,94.93333,06:43,1,20420 20422 20424 20426,4,1,off,-,-,-,-,2,2,sc.20422,Chamber 3,40,4,2,-,7
