Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Coltrane,2011.01.20,1,1,C,A,C,0,0,2.3,22.91667,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,9,1,sc.3474,Chamber 1,40,4,2,-,1,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,2,2,B,A,B,0,0,3.15,37.45,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,10,2,sc.3474,Chamber 1,40,4,2,-,2,10,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,3,3,D,A,D,0,0,4.416667,49.28333,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,7,14,sc.3474,Chamber 1,40,4,2,-,14,8,5,7,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,4,4,C,A,C,0,0,2.183333,79,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,7,2,sc.3474,Chamber 1,40,4,2,-,2,13,7,14,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,5,5,D,A,D,0,0,3.483333,101.55,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,0,3,sc.3474,Chamber 1,40,4,2,-,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,6,6,B,A,B,0,0,1.733333,112.6667,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,12,6,sc.3474,Chamber 1,40,4,2,-,6,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,7,7,B,A,B,0,0,24.46667,148.0167,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,14,1,sc.3474,Chamber 1,40,4,2,-,1,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,8,8,A,A,-,1,bl,3.166667,163.6,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,1,1,sc.3474,Chamber 1,40,4,2,-,1,8,15,13,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,9,8,B,B,-,1,bl,1.8,165.3833,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,8,8,sc.3475,Chamber 1,40,4,2,-,1,8,15,13,0,0,0,0,0,0,0,0,0,0,0,0
Coltrane,2011.01.20,10,8,D,C,ABD,0,0,1.8,167.1833,32:11:00,1,3474 3475 3476 3477,4,1,off,-,-,-,-,13,15,sc.3476,Chamber 1,40,4,2,-,1,8,15,13,0,0,0,0,0,0,0,0,0,0,0,0
