Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList
Ebbinghaus,2012.05.17,1,1,C,A,C,0,0,1.8,5.95,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,2,2,D,A,D,0,0,2.35,15.65,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,3,3,D,A,D,0,0,4.616667,27.16667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,4,4,A,A,-,1,bl,3.65,39.01667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,5,4,C,B,AC,0,0,4.816667,43.81667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,6,5,A,A,-,1,bl,2.45,52.88333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,7,5,D,B,AD,0,0,1.816667,54.7,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,8,6,A,A,-,1,bl,2.033333,63.48333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,9,6,D,B,AD,0,0,1.466667,64.95,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,10,7,A,A,-,1,bl,1.366667,73.01667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,11,7,C,B,AC,0,0,3,76.01667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,12,8,A,A,-,1,bl,1.766667,89.63333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,13,8,B,B,-,1,bl,2.716667,92.35,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,14,8,C,C,-,1,bl,0.9666667,93.31667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,15,8,D,D,ABCD,1,1,0.6,93.91667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,16,9,A,A,-,1,bl,1.383333,99.26667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,17,9,B,B,-,1,bl,3.45,102.7167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,18,9,C,C,-,1,bl,2.516667,105.2333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,19,9,D,D,ABCD,1,1,1.15,106.3833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,20,10,A,A,-,1,bl,1.483333,111.9833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,21,10,C,B,AC,0,0,2.983333,114.9833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,22,11,A,A,-,1,bl,1.15,122.7667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,23,11,C,B,AC,0,0,1.166667,123.9333,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,24,12,A,A,-,1,bl,1.183333,131.8167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,25,12,B,B,-,1,bl,3.516667,135.3333,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,26,12,C,C,-,1,bl,3.833333,139.1667,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,27,12,D,D,ABCD,1,1,1.05,140.2167,06:37,1,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,28,13,A,A,-,1,bl,1.483333,145.6167,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,29,13,B,B,-,1,bl,3.85,149.4667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,30,13,C,C,-,1,bl,0.7833333,150.25,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,31,13,D,D,ABCD,1,1,0.75,151,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,32,14,A,A,-,1,bl,1.016667,155.8,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,33,14,C,B,AC,0,0,2.066667,157.8667,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,34,15,A,A,-,1,bl,1.3,165.8833,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,35,15,B,B,-,1,bl,3.266667,169.15,06:37,2,20020 20021 20022 20023,4
Ebbinghaus,2012.05.17,36,15,D,C,ABD,0,0,1.916667,171.0667,06:37,2,20020 20021 20022 20023,4
