Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Lashley,2011.01.20,1,1,B,A,B,0,0,1.916667,3.666667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,11,8,sc.0210,Chamber 4,40,4,2,-,8,11,6,14,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,2,2,D,A,D,0,0,1.1,12.25,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,5,0,sc.0210,Chamber 4,40,4,2,-,0,2,13,5,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,3,3,B,A,B,0,0,1.483333,20.81667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,0,sc.0210,Chamber 4,40,4,2,-,0,9,13,10,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,4,4,B,A,B,0,0,2.283333,30.85,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,9,8,sc.0210,Chamber 4,40,4,2,-,8,9,12,2,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,5,5,C,A,C,0,0,1.566667,39.16667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,14,7,sc.0210,Chamber 4,40,4,2,-,7,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,6,6,B,A,B,0,0,1.55,47.36667,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,4,12,sc.0210,Chamber 4,40,4,2,-,12,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,7,7,A,A,-,1,bl,2.95,57.3,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,3,3,sc.0210,Chamber 4,40,4,2,-,3,15,1,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,8,7,C,B,AC,0,0,0.8,58.08333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,1,15,sc.0213,Chamber 4,40,4,2,-,3,15,1,12,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,9,8,A,A,-,1,bl,1.2,66.08333,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,7,7,sc.0210,Chamber 4,40,4,2,-,7,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Lashley,2011.01.20,10,8,C,B,AC,0,0,1.566667,67.65,05:45,1,0210 0213 0214 0216,4,1,off,-,-,-,-,3,4,sc.0213,Chamber 4,40,4,2,-,7,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0
