Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Macduff,2007.02.22,1,1,C,A,C,0,0,2.266667,4.233333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,8,10,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,2,2,B,A,B,0,0,3.4,14.23333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,5,12,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,3,3,A,A,-,1,bl,3.916667,24.85,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,3,3,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,4,3,B,B,-,1,bl,2,26.81667,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,8,8,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,5,3,D,C,ABD,0,0,1.533333,28.36667,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,4,1,sc.0025,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,6,4,D,A,D,0,0,4.133333,39.1,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,3,9,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,7,5,C,A,C,0,0,4.783333,53.16667,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,6,3,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,8,6,C,A,C,0,0,3.266667,63.68333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,0,8,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,9,7,B,A,B,0,0,3.666667,74.03333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,10,5,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,10,8,B,A,B,0,0,2.866667,86.7,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,15,5,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,11,9,C,A,C,0,0,2.95,100.45,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,14,6,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,12,10,D,A,D,0,0,3.85,110.9,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,1,10,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,13,11,A,A,-,1,bl,8.066667,125.2,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,9,9,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,14,11,B,B,-,1,bl,3.316667,128.5167,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,13,13,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,15,11,D,C,ABD,0,0,0.7,129.2167,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,14,11,sc.0025,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,16,12,A,A,-,1,bl,4.2,140.05,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,15,15,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,17,12,B,B,-,1,bl,1.75,141.8,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,9,9,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,18,12,C,C,-,1,bl,1.716667,143.5167,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,13,13,sc.0025,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,19,12,D,D,ABCD,1,1,0.5,144.0167,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,2,2,sc.0026,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,20,13,A,A,-,1,bl,2.75,150.7,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,7,7,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,21,13,D,B,AD,0,0,2.766667,153.4667,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,5,0,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,22,14,A,A,-,1,bl,4.133333,164.1333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,5,5,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,23,14,C,B,AC,0,0,1.216667,165.35,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,14,1,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,24,15,A,A,-,1,bl,2.65,174.6,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,4,4,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,25,15,C,B,AC,0,0,0.8333333,175.4333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,15,13,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,26,16,A,A,-,1,bl,2.183333,184.4,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,7,7,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,27,16,B,B,-,1,bl,1.683333,186.1,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,8,8,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,28,16,C,C,-,1,bl,2.233333,188.3167,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,1,1,sc.0025,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,29,16,D,D,ABCD,1,1,0.45,188.7667,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,13,13,sc.0026,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,30,17,A,A,-,1,bl,1.916667,194.5333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,12,12,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,31,17,C,B,AC,0,0,1.75,196.2833,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,5,4,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,32,18,A,A,-,1,bl,2.15,205.8,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,4,4,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,33,18,C,B,AC,0,0,0.7833333,206.5833,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,12,11,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,34,19,A,A,-,1,bl,3.183333,216.25,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,12,12,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,35,19,C,B,AC,0,0,1.7,217.95,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,5,1,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,36,20,A,A,-,1,bl,3.05,227.8,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,0,0,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,37,20,C,B,AC,0,0,2.55,230.35,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,3,12,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,38,21,A,A,-,1,bl,1.133333,238.0333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,10,10,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,39,21,B,B,-,1,bl,1.966667,240,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,11,11,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,40,21,C,C,-,1,bl,1.4,241.4,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,0,0,sc.0025,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,41,21,D,D,ABCD,1,1,0.4833333,241.8833,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,13,13,sc.0026,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,42,22,A,A,-,1,bl,2.133333,248.0333,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,14,14,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,43,22,B,B,-,1,bl,1.116667,249.15,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,9,9,sc.0024,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,44,22,C,C,-,1,bl,2.65,251.8,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,11,11,sc.0025,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,45,22,D,D,ABCD,1,1,0.3833333,252.1833,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,3,3,sc.0026,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
Macduff,2007.02.22,46,23,A,A,-,1,bl,2.183333,258.2167,10:06,1,0023 0024 0025 0026,4,1,off,-,-,-,-,1,1,sc.0023,Chamber 4,60,4,2,-,,,,,,,,,,,,,,,,
