Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label,Ports Used,,,,,,,,,,,,,,,
Oberon,2012.02.20,1,1,C,A,C,0,0,1.4,22.7,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,10,2,sc.20420,Chamber 3,40,4,2,-,2,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,2,2,D,A,D,0,0,1.666667,33.75,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,7,3,sc.20420,Chamber 3,40,4,2,-,3,10,11,7,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,3,3,C,A,C,0,0,1.916667,42.53333,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,14,8,sc.20420,Chamber 3,40,4,2,-,8,13,14,9,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,4,4,C,A,C,0,0,1.5,51.83333,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,6,13,sc.20420,Chamber 3,40,4,2,-,13,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,5,5,B,A,B,0,0,5.8,64.88333,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,12,3,sc.20420,Chamber 3,40,4,2,-,3,12,2,14,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,6,6,D,A,D,0,0,3.916667,76.93333,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,8,7,sc.20420,Chamber 3,40,4,2,-,7,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,7,7,A,A,-,1,bl,4.333333,90.11667,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,10,10,sc.20420,Chamber 3,40,4,2,-,10,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,8,7,C,B,AC,0,0,0.6333333,90.75,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,12,2,sc.20422,Chamber 3,40,4,2,-,10,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,9,8,A,A,-,1,bl,2.15,105.6167,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,8,8,sc.20420,Chamber 3,40,4,2,-,8,3,15,9,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,10,8,D,B,AD,0,0,0.85,106.4667,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,9,3,sc.20422,Chamber 3,40,4,2,-,8,3,15,9,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,11,9,D,A,D,0,0,12.36667,127.6333,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,6,10,sc.20420,Chamber 3,40,4,2,-,10,12,9,6,0,0,0,0,0,0,0,0,0,0,0,0
Oberon,2012.02.20,12,10,A,A,-,1,bl,7.216667,141.5,08:50,1,20420 20422 20424 20426,4,1,off,-,-,-,-,2,2,sc.20420,Chamber 3,40,4,2,-,2,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0
