Sub,Date,Press,Trial,ItemPressed,CorrectItem,Progress,PressAccuracy,TrialAccuracy,RT,SessionTime,TotalTime,ListNum,ListPics,ItemsInList,NumLists,CorrectionProcedure,ex1,ex2,ex3,ListType,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Label
Prospero,2007.03.19,1,1,D,A,D,0,0,266.7167,445.6667,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,1,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,2,2,D,A,D,0,0,9.966667,618.7167,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,8,7,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,3,3,B,A,B,0,0,25.86667,651.6167,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,1,6,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,4,4,A,A,-,1,bl,285.3833,991.7667,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,6,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,5,4,D,B,AD,0,0,39.1,1030.867,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,15,7,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,6,5,C,A,C,0,0,1.35,1042.6,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,13,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,7,6,D,A,D,0,0,2.833333,1053.467,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,8,14,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,8,7,B,A,B,0,0,1.35,1061.617,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,0,2,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,9,8,D,A,D,0,0,2.766667,1071.033,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,9,13,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,10,9,A,A,-,1,bl,2.033333,1085.717,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,10,10,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,11,9,D,B,AD,0,0,0.9333333,1086.633,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,14,7,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,12,10,A,A,-,1,bl,1.933333,1095.45,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,3,3,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,13,10,D,B,AD,0,0,2.033333,1097.483,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,8,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,14,11,A,A,-,1,bl,2.05,1106.533,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,12,12,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,15,11,D,B,AD,0,0,1.416667,1107.95,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,3,14,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,16,12,A,A,-,1,bl,1.533333,1121.3,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,0,0,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,17,12,C,B,AC,0,0,2.883333,1124.183,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,4,7,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,18,13,A,A,-,1,bl,1.75,1132.017,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,15,15,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,19,13,B,B,-,1,bl,5.316667,1137.333,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,10,10,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,20,13,D,C,ABD,0,0,0.8833333,1138.217,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,14,3,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,21,14,A,A,-,1,bl,2.016667,1146.717,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,15,15,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,22,14,B,B,-,1,bl,1.533333,1148.25,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,9,9,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,23,14,C,C,-,1,bl,1.066667,1149.317,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,4,4,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,24,14,D,D,ABCD,1,1,0.6,1149.917,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,10,10,sc.0125,Chamber 3,60,4,2,-
Prospero,2007.03.19,25,15,A,A,-,1,bl,2.583333,1156,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,7,7,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,26,15,B,B,-,1,bl,3.55,1159.55,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,0,0,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,27,15,D,C,ABD,0,0,1.166667,1160.733,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,13,10,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,28,16,A,A,-,1,bl,3.35,1170.483,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,4,4,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,29,16,B,B,-,1,bl,1.516667,1172,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,14,14,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,30,16,C,C,-,1,bl,0.8666667,1172.867,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,2,2,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,31,16,D,D,ABCD,1,1,0.6,1173.467,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,13,13,sc.0125,Chamber 3,60,4,2,-
Prospero,2007.03.19,32,17,A,A,-,1,bl,3.516667,1180.8,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,3,3,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,33,17,B,B,-,1,bl,1.6,1182.4,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,6,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,34,17,C,C,-,1,bl,1.066667,1183.467,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,12,12,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,35,17,D,D,ABCD,1,1,0.6,1184.067,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,10,10,sc.0125,Chamber 3,60,4,2,-
Prospero,2007.03.19,36,18,A,A,-,1,bl,1.766667,1190,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,13,13,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,37,18,B,B,-,1,bl,2.816667,1192.817,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,8,8,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,38,18,C,C,-,1,bl,0.7,1193.517,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,1,1,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,39,18,D,D,ABCD,1,1,0.5333333,1194.05,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,3,3,sc.0125,Chamber 3,60,4,2,-
Prospero,2007.03.19,40,19,A,A,-,1,bl,2.283333,1200.05,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,12,12,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,41,19,B,B,-,1,bl,1.316667,1201.367,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,13,13,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,42,19,C,C,-,1,bl,1.916667,1203.283,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,15,15,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,43,19,D,D,ABCD,1,1,0.7666667,1204.05,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,3,3,sc.0125,Chamber 3,60,4,2,-
Prospero,2007.03.19,44,20,B,A,B,0,0,2.533333,1210.533,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,0,3,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,45,21,A,A,-,1,bl,1.333333,1218.5,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,14,14,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,46,21,B,B,-,1,bl,3.483333,1221.983,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,12,12,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,47,21,C,C,-,1,bl,2.116667,1224.1,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,1,1,sc.0124,Chamber 3,60,4,2,-
Prospero,2007.03.19,48,21,D,D,ABCD,1,1,0.7666667,1224.867,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,6,sc.0125,Chamber 3,60,4,2,-
Prospero,2007.03.19,49,22,A,A,-,1,bl,4.483333,1232.733,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,2,2,sc.0122,Chamber 3,60,4,2,-
Prospero,2007.03.19,50,22,B,B,-,1,bl,0.75,1233.483,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,6,6,sc.0123,Chamber 3,60,4,2,-
Prospero,2007.03.19,51,22,D,C,ABD,0,0,0.6166667,1234.1,26:51:00,1,0122 0123 0124 0125,4,1,off,-,-,-,  day 1,15,3,sc.0124,Chamber 3,60,4,2,-
